# probe_name     : rest
# profile        : max-debug
# profile_type   : debug
# arm            : right
# kind           : baseline
# recorded_utc   : 2026-08-08T06:41:14.372Z
# duration_s     : 5.000
# sample_rate_hz : 1000
# n_samples      : 5000
# channels       : ulnar, median, radial
# value_range    : -1..+1  (Companion raw SNC)
# notes          : session baseline (recorded via header button)
# effort         : easy
# fatigue        : none
# schema         : armband/probe/1
t_ms,ulnar,median,radial
0,-0.16016,-0.19678,-0.08185
1,-0.24408,-0.22977,-0.07214
2,-0.26535,-0.22614,-0.04990
3,-0.21021,-0.18185,-0.04361
4,-0.10233,-0.10168,-0.05905
5,0.00922,-0.00482,-0.08215
6,0.07971,0.07797,-0.09500
7,0.09491,0.11798,-0.08902
8,0.07367,0.10449,-0.06757
9,0.04620,0.05127,-0.04080
10,0.02887,-0.01138,-0.01993
11,0.01767,-0.05341,-0.01251
12,0.00366,-0.05960,-0.01892
13,-0.00815,-0.03290,-0.02881
14,0.00189,0.01294,-0.02332
15,0.04800,0.06281,0.01315
16,0.11725,0.10410,0.07642
17,0.16962,0.12503,0.13593
18,0.16409,0.11462,0.15039
19,0.09076,0.07001,0.09927
20,-0.01801,0.00504,0.00482
21,-0.10727,-0.05069,-0.07861
22,-0.13525,-0.06802,-0.10443
23,-0.09778,-0.03912,-0.07001
24,-0.02594,0.01526,-0.01672
25,0.03833,0.06073,0.00812
26,0.06827,0.07455,-0.00702
27,0.06329,0.06012,-0.02991
28,0.04153,0.03857,-0.01785
29,0.02286,0.02744,0.03973
30,0.01495,0.02646,0.10843
31,0.01123,0.02237,0.13715
32,-0.00003,0.00482,0.10110
33,-0.02301,-0.02341,0.02179
34,-0.04886,-0.05173,-0.05231
35,-0.06268,-0.07443,-0.08401
36,-0.05688,-0.09601,-0.07098
37,-0.03784,-0.12250,-0.03687
38,-0.01889,-0.14841,-0.00513
39,-0.00629,-0.15540,0.01712
40,0.00571,-0.12738,0.03241
41,0.02438,-0.06961,0.03687
42,0.04352,-0.01193,0.01740
43,0.04269,0.01071,-0.03256
44,0.00534,-0.01443,-0.09735
45,-0.06061,-0.06693,-0.14438
46,-0.12247,-0.10901,-0.14880
47,-0.14673,-0.11475,-0.11346
48,-0.12558,-0.08749,-0.06311
49,-0.08069,-0.05182,-0.01950
50,-0.04105,-0.02982,0.01596
51,-0.01770,-0.02451,0.05417
52,-0.00037,-0.02283,0.09583
53,0.02295,-0.01212,0.12314
54,0.04700,0.00806,0.11835
55,0.05334,0.02893,0.08997
56,0.03320,0.04437,0.07523
57,0.00269,0.05759,0.10876
58,-0.00858,0.07492,0.18536
59,0.01349,0.09457,0.25598
60,0.05197,0.10480,0.26755
61,0.07458,0.09662,0.21246
62,0.06717,0.07922,0.13986
63,0.04968,0.07837,0.11255
64,0.05719,0.11267,0.14774
65,0.10239,0.16745,0.19839
66,0.15796,0.19553,0.19644
67,0.17838,0.15332,0.11847
68,0.14130,0.04349,0.01053
69,0.06931,-0.07730,-0.05215
70,0.01044,-0.13931,-0.03174
71,-0.00348,-0.11594,0.04300
72,0.01865,-0.04407,0.10934
73,0.04132,0.01056,0.12741
74,0.03845,0.01001,0.10434
75,0.01544,-0.02899,0.06989
76,-0.00134,-0.05930,0.03818
77,0.00638,-0.04984,-0.00046
78,0.03156,-0.00943,-0.05402
79,0.05115,0.02911,-0.10507
80,0.05045,0.04294,-0.11938
81,0.03745,0.03629,-0.07880
82,0.03461,0.02914,-0.00232
83,0.05725,0.03427,0.06689
84,0.09799,0.04578,0.09546
85,0.13040,0.04758,0.08252
86,0.12869,0.03052,0.05350
87,0.08780,0.00180,0.03583
88,0.02829,-0.02029,0.03992
89,-0.01837,-0.02054,0.05734
90,-0.03287,0.00183,0.07135
91,-0.02121,0.03317,0.06818
92,-0.00671,0.05545,0.04318
93,-0.00803,0.05768,0.00351
94,-0.02325,0.04083,-0.03345
95,-0.03458,0.01321,-0.04724
96,-0.02899,-0.01733,-0.02841
97,-0.01361,-0.04767,0.01056
98,-0.00986,-0.07791,0.03900
99,-0.03134,-0.10657,0.02911
100,-0.06772,-0.12762,-0.01978
101,-0.09073,-0.13153,-0.07574
102,-0.07843,-0.11026,-0.09619
103,-0.03479,-0.06476,-0.06155
104,0.01282,-0.00940,0.00754
105,0.03500,0.03195,0.06473
106,0.02148,0.03943,0.07288
107,-0.01498,0.01263,0.03012
108,-0.05087,-0.02563,-0.03275
109,-0.06671,-0.04373,-0.07773
110,-0.05435,-0.02521,-0.08481
111,-0.01697,0.01694,-0.05841
112,0.03131,0.04941,-0.01602
113,0.06775,0.04575,0.02539
114,0.07083,0.00940,0.05423
115,0.03738,-0.02740,0.06198
116,-0.00858,-0.03043,0.04361
117,-0.03012,0.00546,0.00397
118,-0.00964,0.04715,-0.03708
119,0.03027,0.04773,-0.05118
120,0.04361,-0.01181,-0.01871
121,0.00552,-0.09839,0.05499
122,-0.05695,-0.14462,0.13852
123,-0.08374,-0.10126,0.19080
124,-0.03741,0.01691,0.18442
125,0.05609,0.13269,0.12100
126,0.12454,0.16077,0.02963
127,0.11115,0.07367,-0.04913
128,0.02423,-0.07474,-0.08511
129,-0.07077,-0.18893,-0.07266
130,-0.10739,-0.20148,-0.03036
131,-0.06927,-0.11649,0.01355
132,0.00601,0.00443,0.03864
133,0.06525,0.09366,0.04062
134,0.07993,0.12076,0.02628
135,0.05688,0.09741,0.00412
136,0.02130,0.05365,-0.01874
137,-0.00424,0.01413,-0.03323
138,-0.00739,-0.00745,-0.02734
139,0.01593,-0.00357,0.00558
140,0.06259,0.02728,0.05618
141,0.11975,0.07410,0.10007
142,0.16528,0.11212,0.11359
143,0.17529,0.11600,0.09210
144,0.13574,0.07779,0.05292
145,0.04965,0.01297,0.02045
146,-0.06256,-0.05313,0.00751
147,-0.16849,-0.10382,0.00992
148,-0.23206,-0.13562,0.01703
149,-0.22501,-0.14609,0.02563
150,-0.14120,-0.12344,0.04260
151,-0.00659,-0.05698,0.07349
152,0.12436,0.03766,0.10782
153,0.19101,0.10721,0.11584
154,0.15921,0.08801,0.06454
155,0.04431,-0.04172,-0.05563
156,-0.09375,-0.22900,-0.21231
157,-0.18500,-0.37067,-0.33966
158,-0.19269,-0.38376,-0.37436
159,-0.13474,-0.26730,-0.29626
160,-0.06592,-0.10214,-0.14288
161,-0.03442,0.01178,0.01486
162,-0.04678,0.02890,0.11716
163,-0.06937,-0.01779,0.14624
164,-0.06345,-0.05569,0.12354
165,-0.02097,-0.03525,0.08377
166,0.03073,0.03641,0.05234
167,0.05658,0.11163,0.04053
168,0.04510,0.14471,0.05099
169,0.01321,0.12048,0.07874
170,-0.01715,0.05249,0.10632
171,-0.04343,-0.03650,0.10693
172,-0.08102,-0.12802,0.06161
173,-0.13916,-0.20654,-0.02170
174,-0.20099,-0.25418,-0.10770
175,-0.23157,-0.25461,-0.15707
176,-0.20743,-0.20465,-0.15353
177,-0.13770,-0.12033,-0.11096
178,-0.05643,-0.02911,-0.05652
179,0.00620,0.04517,-0.00989
180,0.04401,0.09045,0.02142
181,0.06927,0.10294,0.03259
182,0.09058,0.08133,0.01645
183,0.10083,0.02988,-0.02591
184,0.08755,-0.03302,-0.07211
185,0.05203,-0.07602,-0.08508
186,0.01389,-0.07269,-0.04202
187,-0.00516,-0.02444,0.03891
188,-0.00180,0.03479,0.10352
189,0.00601,0.06100,0.10095
190,-0.00269,0.03259,0.02512
191,-0.03091,-0.03384,-0.07773
192,-0.05957,-0.09662,-0.14319
193,-0.06253,-0.11768,-0.13593
194,-0.02667,-0.08441,-0.07254
195,0.03946,-0.01245,-0.00473
196,0.11188,0.06607,0.02011
197,0.16504,0.11804,-0.00879
198,0.18314,0.12228,-0.06122
199,0.16467,0.07785,-0.08942
200,0.11981,0.00412,-0.06232
201,0.06339,-0.06909,0.01111
202,0.00876,-0.11743,0.08594
203,-0.03430,-0.13309,0.11243
204,-0.05844,-0.12323,0.07291
205,-0.05823,-0.09998,-0.00394
206,-0.03375,-0.07190,-0.06497
207,0.00537,-0.04355,-0.07315
208,0.04245,-0.01859,-0.03308
209,0.06332,-0.00082,0.01944
210,0.06467,0.00800,0.05096
211,0.05252,0.00891,0.05502
212,0.03265,0.00290,0.04770
213,0.00476,-0.01071,0.04489
214,-0.03220,-0.03201,0.04706
215,-0.06985,-0.05685,0.04379
216,-0.08972,-0.07797,0.02847
217,-0.07693,-0.09070,0.00519
218,-0.03625,-0.09595,-0.01758
219,0.00781,-0.09604,-0.03525
220,0.02905,-0.08813,-0.04813
221,0.02005,-0.06610,-0.05585
222,-0.00424,-0.03091,-0.05499
223,-0.02341,0.00150,-0.04373
224,-0.03140,0.00763,-0.02783
225,-0.03995,-0.02478,-0.02042
226,-0.06244,-0.08386,-0.03418
227,-0.09479,-0.14038,-0.07181
228,-0.11328,-0.16876,-0.12140
229,-0.09244,-0.16299,-0.16061
230,-0.02780,-0.13419,-0.16821
231,0.05695,-0.09595,-0.13739
232,0.12378,-0.05432,-0.08231
233,0.14340,-0.01172,-0.03061
234,0.10992,0.02295,-0.00534
235,0.03915,0.03259,-0.01053
236,-0.04218,0.00500,-0.03149
237,-0.10632,-0.04996,-0.04825
238,-0.12988,-0.09695,-0.04736
239,-0.10052,-0.09409,-0.02356
240,-0.02731,-0.02545,0.02332
241,0.05334,0.07736,0.08505
242,0.08932,0.14645,0.13852
243,0.04404,0.12225,0.15201
244,-0.07187,0.00220,0.10953
245,-0.19662,-0.14709,0.03366
246,-0.25366,-0.23221,-0.02271
247,-0.20474,-0.20206,-0.01810
248,-0.07791,-0.08685,0.03821
249,0.05740,0.02960,0.09140
250,0.14795,0.08200,0.09067
251,0.19547,0.07501,0.03653
252,0.23904,0.06549,-0.02145
253,0.29776,0.09384,-0.03659
254,0.33237,0.13397,-0.01352
255,0.27155,0.11462,-0.00415
256,0.08432,-0.00632,-0.05331
257,-0.16907,-0.18719,-0.14774
258,-0.36353,-0.32373,-0.21982
259,-0.39798,-0.32983,-0.20535
260,-0.27194,-0.20538,-0.10281
261,-0.08359,-0.03207,0.02057
262,0.04846,0.09399,0.08163
263,0.07166,0.13058,0.04730
264,0.02390,0.10382,-0.04254
265,-0.01517,0.06732,-0.11230
266,0.00400,0.05228,-0.11224
267,0.06802,0.05112,-0.05197
268,0.12506,0.03967,0.01801
269,0.13428,0.00787,0.05304
270,0.09390,-0.03165,0.04556
271,0.03116,-0.05902,0.01807
272,-0.02615,-0.06686,-0.00555
273,-0.06534,-0.06226,-0.01740
274,-0.08347,-0.05225,-0.01837
275,-0.07605,-0.03113,-0.00412
276,-0.03900,0.01337,0.03149
277,0.01749,0.07895,0.07751
