# profile: max-debug
# arm: right
# session: 2026-08-08_1701
# probe: rest
# started: 2026-08-08T17:01:34
# duration_s: 29.807
# sample_rate_hz: 840
# placement: Wearing band 2 finger lengths above right wrist.
# filters: none
# kind: rest
# profile_type: debug
# n_samples: 25038
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-09T00:01:34.771Z
# extra.extra_measured_rate_hz: 836.3
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,0.14166,0.04126,0.16306
1,0.13278,0.06161,0.17709
2,0.08438,0.07947,0.15497
3,0.03009,0.09735,0.10986
4,-0.00882,0.09497,0.05133
5,-0.03104,0.05090,-0.00974
7,-0.04410,-0.03094,-0.05927
8,-0.05045,-0.11407,-0.08246
9,-0.04584,-0.15088,-0.06775
10,-0.03000,-0.11969,-0.01422
11,-0.01419,-0.04993,0.05844
13,-0.01471,-0.00925,0.10757
14,-0.03671,-0.05386,0.08691
15,-0.06665,-0.17599,-0.01700
16,-0.08261,-0.29590,-0.15918
17,-0.07416,-0.31482,-0.25247
19,-0.05020,-0.19363,-0.22437
20,-0.02744,0.00821,-0.07330
21,-0.01178,0.17175,0.12274
22,0.00552,0.20782,0.25790
23,0.03305,0.12408,0.27206
25,0.06342,0.01389,0.19058
26,0.07556,-0.02298,0.09875
27,0.05545,0.04059,0.07312
28,0.01297,0.14395,0.12393
29,-0.02347,0.19598,0.19354
30,-0.03033,0.15088,0.20905
32,-0.00900,0.03879,0.14304
33,0.01511,-0.06964,0.03122
34,0.01187,-0.12592,-0.06409
35,-0.03165,-0.13629,-0.10645
36,-0.10165,-0.13873,-0.10529
38,-0.16406,-0.15372,-0.09009
39,-0.18265,-0.16101,-0.07327
40,-0.13998,-0.12515,-0.04324
41,-0.04929,-0.04047,0.00897
42,0.05225,0.05362,0.06573
44,0.12711,0.10391,0.09259
45,0.16129,0.08981,0.07257
46,0.16861,0.03769,0.02570
47,0.17188,-0.00735,-0.00900
48,0.17923,-0.02066,-0.01044
50,0.17841,-0.00974,0.00708
51,0.15332,0.00406,0.01117
52,0.10413,0.00827,-0.01572
53,0.05029,0.00421,-0.05884
54,0.01498,-0.00140,-0.08228
55,0.00659,-0.00473,-0.05899
57,0.01404,-0.00922,0.00110
58,0.01682,-0.03101,0.04474
59,-0.00012,-0.09747,0.00357
60,-0.03662,-0.22461,-0.15091
61,-0.07550,-0.38107,-0.36194
63,-0.08929,-0.47861,-0.49966
64,-0.05472,-0.42047,-0.44281
65,0.02960,-0.18231,-0.17715
66,0.13382,0.14688,0.17383
67,0.20627,0.41345,0.42471
69,0.20041,0.50192,0.45621
70,0.10318,0.40375,0.29230
71,-0.05344,0.19885,0.06671
72,-0.20486,-0.01797,-0.08435
73,-0.28433,-0.19162,-0.11108
