# profile: max-debug
# arm: right
# session: 2026-08-08_1701
# probe: baseline
# started: 2026-08-08T17:04:39
# duration_s: 29.850
# sample_rate_hz: 840
# placement: Wearing band 2 finger lengths above right wrist.
# filters: none
# notes: forearm supported on table; recorded to replace the unsupported first rest
# kind: rest
# profile_type: debug
# n_samples: 25074
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-09T00:04:39.294Z
# extra.extra_measured_rate_hz: 837.5
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,-0.02026,-0.08270,0.06174
1,-0.00214,0.00787,0.05988
2,-0.00772,0.05182,0.02081
3,-0.04395,-0.00198,-0.04510
4,-0.08212,-0.12857,-0.10538
5,-0.09122,-0.26471,-0.13931
7,-0.06970,-0.36005,-0.15591
8,-0.04324,-0.39288,-0.17606
9,-0.03235,-0.35434,-0.20041
10,-0.02835,-0.23981,-0.20117
11,-0.00552,-0.06689,-0.15155
13,0.04361,0.10675,-0.06308
14,0.09039,0.20367,0.01273
15,0.09222,0.17999,0.02548
16,0.03433,0.06381,-0.02817
17,-0.05121,-0.06372,-0.10019
19,-0.10968,-0.12994,-0.13205
20,-0.10785,-0.11920,-0.10165
21,-0.05664,-0.06824,-0.03360
22,0.00504,-0.02274,0.02985
23,0.04556,-0.00143,0.06491
25,0.06000,0.00391,0.07700
26,0.06119,0.00522,0.08386
27,0.05777,0.00296,0.09314
28,0.04437,-0.00916,0.09509
29,0.01144,-0.03275,0.07364
30,-0.03882,-0.06274,0.02271
32,-0.08688,-0.09357,-0.04517
33,-0.10699,-0.12128,-0.10489
34,-0.08389,-0.13690,-0.13461
35,-0.02307,-0.12158,-0.12946
36,0.05286,-0.05493,-0.10144
38,0.11758,0.06567,-0.06622
39,0.15488,0.21170,-0.02957
40,0.16373,0.33023,0.01297
41,0.15234,0.37100,0.06281
42,0.12738,0.31577,0.10727
44,0.08835,0.19025,0.12418
45,0.03287,0.04895,0.09918
46,-0.03189,-0.05649,0.03946
47,-0.08463,-0.10455,-0.02911
48,-0.10046,-0.10870,-0.07770
50,-0.07095,-0.09949,-0.09052
51,-0.01593,-0.09964,-0.07089
52,0.02594,-0.11157,-0.03665
53,0.02502,-0.12335,-0.00934
54,-0.01559,-0.12408,-0.00275
55,-0.06104,-0.11353,-0.01578
57,-0.07220,-0.09915,-0.03522
58,-0.03751,-0.08609,-0.04697
59,0.01852,-0.07047,-0.04636
60,0.05725,-0.04376,-0.03876
61,0.05884,-0.00412,-0.03070
63,0.03656,0.03622,-0.02216
64,0.02084,0.05661,-0.00864
65,0.02924,0.04471,0.01154
66,0.05121,0.00995,0.03455
67,0.06049,-0.02094,0.05548
69,0.04172,-0.02570,0.07178
70,0.00482,-0.00641,0.08044
71,-0.02509,0.01337,0.07462
72,-0.03104,0.01376,0.04929
