# profile: max-debug
# arm: right
# session: 2026-08-08_2046
# probe: rest
# started: 2026-08-08T20:46:30
# duration_s: 29.786
# sample_rate_hz: 840
# placement: RIGHT arm, 1 inch above the wrist bone
# filters: none
# kind: rest
# profile_type: debug
# n_samples: 25020
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-09T03:46:30.635Z
# extra.protocol: rest
# extra.extra_measured_rate_hz: 827.5
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,-0.00931,0.03311,-0.01666
1,0.03793,0.05777,0.02646
2,0.06726,0.05850,0.04477
3,0.04379,0.02118,0.01712
4,-0.03854,-0.05640,-0.05240
5,-0.14215,-0.15036,-0.13467
7,-0.20303,-0.21069,-0.18771
8,-0.17123,-0.18719,-0.17593
9,-0.04755,-0.06860,-0.09015
10,0.11154,0.09744,0.04007
11,0.22516,0.22665,0.15439
13,0.23608,0.25220,0.19250
14,0.14423,0.17038,0.13361
15,0.00461,0.04184,0.01578
16,-0.10660,-0.05350,-0.08527
17,-0.13644,-0.07236,-0.10791
19,-0.08334,-0.03186,-0.04932
20,0.00754,0.01492,0.03452
21,0.07748,0.02829,0.07565
22,0.09329,0.01227,0.04941
23,0.06421,-0.00052,-0.01071
25,0.02487,0.00769,-0.05109
26,0.00064,0.01260,-0.05133
27,-0.01193,-0.03046,-0.04028
28,-0.03204,-0.13339,-0.05865
29,-0.06332,-0.24417,-0.10800
30,-0.08081,-0.27649,-0.14093
32,-0.05289,-0.18146,-0.10590
33,0.02136,0.00278,-0.00308
34,0.10031,0.17126,0.10645
35,0.12952,0.22903,0.15024
36,0.08841,0.15924,0.10681
38,0.00906,0.02844,0.02197
39,-0.05142,-0.07010,-0.03491
40,-0.05884,-0.08405,-0.03198
41,-0.02637,-0.02902,0.00333
42,0.00589,0.03726,0.01855
44,0.01334,0.06552,-0.00870
45,0.00912,0.04910,-0.04813
46,0.02490,0.01968,-0.04703
47,0.06979,0.01196,0.01508
48,0.11029,0.02823,0.09973
50,0.09473,0.03455,0.13800
51,0.00403,-0.00592,0.09122
52,-0.11835,-0.09033,-0.01068
53,-0.18979,-0.16638,-0.08972
54,-0.15167,-0.17020,-0.08408
55,-0.02023,-0.08310,0.00000
57,0.11975,0.04523,0.09454
58,0.17633,0.13144,0.12836
59,0.11804,0.12341,0.08514
60,-0.00595,0.03915,0.01129
61,-0.10733,-0.05252,-0.02969
63,-0.12531,-0.09003,-0.01221
64,-0.06589,-0.06503,0.03442
65,0.01282,-0.02023,0.05707
66,0.05194,-0.00562,0.02664
67,0.03659,-0.03345,-0.03894
69,0.00049,-0.06967,-0.09192
70,-0.00928,-0.06796,-0.09406
71,0.02371,-0.01599,-0.04559
72,0.06949,0.04678,0.01697
73,0.07751,0.05884,0.04910
75,0.02274,-0.00806,0.02969
76,-0.06827,-0.11655,-0.02670
77,-0.13495,-0.18643,-0.08292
78,-0.13077,-0.15744,-0.10449
79,-0.05957,-0.04013,-0.07864
80,0.03000,0.09079,-0.01694
82,0.08569,0.15512,0.05472
83,0.09015,0.12836,0.10916
84,0.06470,0.05383,0.12802
85,0.04160,0.00000,0.10858
86,0.03391,0.00287,0.06586
88,0.03055,0.04318,0.02615
89,0.01474,0.07263,0.01190
90,-0.01511,0.06046,0.02679
91,-0.04251,0.01788,0.05316
92,-0.04813,-0.01874,0.06546
94,-0.02753,-0.02539,0.04840
95,0.00363,-0.01196,0.00577
96,0.02103,-0.00858,-0.04565
97,0.00986,-0.03284,-0.08850
98,-0.02399,-0.07126,-0.11316
100,-0.05899,-0.09329,-0.11911
101,-0.07507,-0.08224,-0.11203
102,-0.06870,-0.05161,-0.09964
103,-0.05292,-0.03067,-0.08670
104,-0.04343,-0.03519,-0.07166
105,-0.04343,-0.05286,-0.04846
107,-0.04224,-0.05667,-0.01492
108,-0.02750,-0.03125,0.02042
109,0.00156,0.01361,0.04239
110,0.03296,0.05249,0.04230
111,0.05240,0.06467,0.02768
113,0.05417,0.04712,0.01639
114,0.04260,0.01251,0.01993
115,0.02539,-0.02081,0.03287
116,0.00671,-0.03836,0.03989
117,-0.01376,-0.03571,0.03162
119,-0.03751,-0.02118,0.01242
120,-0.06430,-0.01263,-0.00793
121,-0.09116,-0.02512,-0.02634
122,-0.11215,-0.05493,-0.04672
123,-0.11877,-0.07513,-0.06808
125,-0.10349,-0.05298,-0.07672
126,-0.06644,0.02032,-0.05563
127,-0.01993,0.11337,-0.00470
