# profile: max-debug
# arm: right
# session: 2026-08-08_2046
# probe: rest 2
# started: 2026-08-08T20:47:15
# duration_s: 30.145
# sample_rate_hz: 830
# placement: RIGHT arm, 1 inch above the wrist bone
# filters: none
# kind: rest
# profile_type: debug
# n_samples: 25020
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-09T03:47:15.693Z
# extra.protocol: rest
# extra.extra_measured_rate_hz: 827.5
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,-0.05161,-0.04373,-0.02240
1,-0.00085,0.00537,0.01834
2,0.05188,0.05521,0.04486
3,0.06360,0.06876,0.02954
4,0.01401,0.02454,-0.02917
6,-0.07324,-0.06232,-0.10260
7,-0.14038,-0.14322,-0.14844
8,-0.13446,-0.16467,-0.13641
9,-0.04773,-0.10431,-0.06595
10,0.07312,0.01166,0.03326
12,0.15909,0.12280,0.11676
13,0.16821,0.17126,0.14743
14,0.11246,0.13583,0.11496
15,0.04135,0.04214,0.04196
16,-0.00143,-0.05652,-0.02829
18,-0.01047,-0.11298,-0.05814
19,-0.01263,-0.11182,-0.03976
20,-0.03137,-0.07074,0.00217
21,-0.05710,-0.02014,0.03271
22,-0.05420,0.01941,0.03543
24,-0.00058,0.04254,0.02130
25,0.07874,0.04651,0.01068
26,0.12048,0.02097,0.00766
27,0.07455,-0.04263,-0.00494
28,-0.04596,-0.12888,-0.04300
30,-0.16415,-0.19144,-0.09537
31,-0.19498,-0.17914,-0.12363
32,-0.11243,-0.07861,-0.09314
33,0.02936,0.06628,-0.00729
34,0.13892,0.18048,0.08746
36,0.15659,0.21030,0.13464
37,0.09271,0.15875,0.11197
38,0.00836,0.07550,0.04898
39,-0.03857,0.01450,0.00171
40,-0.03442,-0.00320,0.00479
42,-0.00851,0.00629,0.04276
43,0.00131,0.01486,0.06705
44,-0.01660,0.01028,0.04361
45,-0.04160,0.00302,-0.01297
46,-0.04520,0.00867,-0.05417
48,-0.02231,0.02512,-0.04788
49,0.00000,0.02823,-0.01428
50,-0.01328,-0.00610,-0.00674
51,-0.06845,-0.07233,-0.05392
53,-0.12878,-0.12845,-0.12186
54,-0.14029,-0.12506,-0.14011
55,-0.07819,-0.04926,-0.07126
56,0.02771,0.05728,0.04489
57,0.11368,0.12668,0.11984
59,0.13284,0.11838,0.09369
60,0.09109,0.05048,-0.01120
61,0.03787,-0.01785,-0.11032
62,0.02182,-0.03625,-0.13019
63,0.05124,-0.00061,-0.06622
65,0.09216,0.05099,0.02292
66,0.10135,0.07538,0.07169
67,0.06476,0.05942,0.05936
68,0.00848,0.02606,0.01547
69,-0.02481,0.00949,-0.01685
71,-0.01437,0.02249,-0.01974
72,0.01865,0.04294,-0.00937
73,0.02808,0.03122,-0.01321
74,-0.01465,-0.03326,-0.04138
75,-0.08948,-0.12656,-0.07733
77,-0.13950,-0.19147,-0.09338
78,-0.11960,-0.18149,-0.07468
79,-0.03976,-0.10239,-0.03134
80,0.03946,-0.01218,0.01044
81,0.05807,0.02463,0.02893
83,0.00824,-0.01019,0.02136
84,-0.06104,-0.07593,0.00204
85,-0.08936,-0.11136,-0.01215
86,-0.05682,-0.08737,-0.01474
87,0.00424,-0.02661,-0.01102
89,0.04346,0.02347,-0.00833
90,0.03653,0.03439,-0.00629
91,0.00076,0.01605,0.00345
92,-0.02652,-0.00067,0.02716
93,-0.02200,0.00348,0.05807
95,0.00629,0.02057,0.07605
96,0.02997,0.02728,0.06100
97,0.02667,0.00931,0.01083
98,-0.00058,-0.02579,-0.05215
100,-0.02609,-0.05649,-0.09454
101,-0.02405,-0.06613,-0.09525
102,0.00806,-0.05447,-0.05963
103,0.04578,-0.03320,-0.01208
104,0.05795,-0.01266,0.02551
106,0.03372,0.00528,0.04846
107,-0.00842,0.02310,0.06461
108,-0.03738,0.03851,0.07837
109,-0.03598,0.04291,0.08261
110,-0.01230,0.02954,0.06656
112,0.01199,0.00235,0.03021
113,0.02228,-0.02475,-0.01172
114,0.02014,-0.03723,-0.04028
115,0.01471,-0.02859,-0.04590
116,0.00974,-0.00177,-0.03265
118,0.00052,0.03461,-0.01172
119,-0.01776,0.06845,0.00620
120,-0.04163,0.08533,0.01370
121,-0.06125,0.07309,0.00665
122,-0.06952,0.03119,-0.01385
124,-0.06741,-0.02365,-0.03882
125,-0.05930,-0.06497,-0.05490
126,-0.04422,-0.07446,-0.05380
127,-0.01529,-0.05511,-0.03949
128,0.03036,-0.02661,-0.02457
130,0.08041,-0.00656,-0.01758
131,0.10913,0.00430,-0.01483
132,0.09451,0.01846,-0.00589
133,0.03738,0.04404,0.01306
134,-0.03516,0.07175,0.03217
136,-0.08636,0.08069,0.03586
137,-0.09409,0.05801,0.01819
138,-0.06259,0.01352,-0.00955
139,-0.01434,-0.02606,-0.02698
140,0.02820,-0.03867,-0.02094
142,0.05453,-0.02499,0.00381
143,0.06400,-0.00699,0.02826
144,0.05701,-0.00772,0.03311
145,0.03177,-0.03156,0.01251
146,-0.00998,-0.06152,-0.02194
148,-0.05600,-0.07532,-0.04858
149,-0.08551,-0.06418,-0.04993
150,-0.08026,-0.03778,-0.02454
151,-0.03726,-0.01321,0.01181
153,0.02792,-0.00024,0.03683
154,0.08932,0.00342,0.03705
155,0.12439,0.00552,0.01587
156,0.12479,0.00998,-0.01099
157,0.09772,0.01422,-0.02859
159,0.05823,0.01282,-0.03281
160,0.01852,0.00180,-0.02969
161,-0.01654,-0.01932,-0.02676
162,-0.04535,-0.04617,-0.02505
163,-0.06293,-0.06924,-0.01965
165,-0.06165,-0.07758,-0.00769
166,-0.04190,-0.06760,0.00400
167,-0.02060,-0.05042,-0.00076
168,-0.02237,-0.04633,-0.03589
169,-0.05588,-0.06668,-0.09778
171,-0.09726,-0.09900,-0.15887
172,-0.10275,-0.11212,-0.18015
173,-0.04568,-0.08078,-0.13739
174,0.05548,-0.00845,-0.04288
175,0.14658,0.07352,0.05804
177,0.17941,0.12863,0.11661
178,0.14783,0.13937,0.11526
179,0.08701,0.11255,0.07922
180,0.03928,0.06708,0.05386
181,0.02094,0.01959,0.06693
183,0.01767,-0.02051,0.10645
184,0.00671,-0.04803,0.13336
185,-0.01901,-0.05963,0.11673
186,-0.04572,-0.05444,0.06076
187,-0.05328,-0.03534,0.00040
189,-0.03488,-0.00876,-0.03067
190,-0.00607,0.01529,-0.03067
191,0.00424,0.02429,-0.03040
192,-0.02362,0.00897,-0.06174
193,-0.07944,-0.02646,-0.12198
195,-0.12329,-0.05978,-0.16895
196,-0.11331,-0.06216,-0.15506
197,-0.04230,-0.02133,-0.07162
198,0.04956,0.04370,0.03836
200,0.10208,0.09317,0.11227
201,0.08282,0.09637,0.11719
202,0.01349,0.05557,0.07272
203,-0.04919,0.00253,0.02875
204,-0.06085,-0.02734,0.02145
206,-0.02206,-0.02103,0.04684
207,0.02921,0.00665,0.07086
208,0.05350,0.02753,0.06152
209,0.04010,0.02167,0.01474
210,0.00906,-0.00983,-0.04343
212,-0.01071,-0.04694,-0.07578
213,-0.00592,-0.06589,-0.06015
214,0.01144,-0.05783,-0.00711
215,0.01410,-0.03738,0.04254
216,-0.01831,-0.03113,0.04428
218,-0.07910,-0.05240,-0.01462
219,-0.13297,-0.08362,-0.09775
220,-0.13727,-0.08594,-0.14175
221,-0.07452,-0.03183,-0.10526
222,0.03064,0.06686,-0.00540
224,0.12631,0.16235,0.09286
225,0.16977,0.20520,0.12814
226,0.15564,0.18027,0.09039
227,0.11221,0.11359,0.02365
228,0.07190,0.04675,-0.01614
230,0.04459,0.00354,-0.00854
231,0.01755,-0.02133,0.02057
232,-0.02133,-0.04492,0.02997
233,-0.06268,-0.07089,0.00388
234,-0.07968,-0.08295,-0.03540
236,-0.05487,-0.06430,-0.05222
237,-0.00436,-0.02332,-0.03464
238,0.02713,0.00311,-0.00854
239,0.00089,-0.02188,-0.01401
240,-0.07864,-0.09708,-0.06512
242,-0.15860,-0.17239,-0.13010
243,-0.17462,-0.18216,-0.15286
244,-0.10193,-0.09906,-0.10004
245,0.02213,0.03802,0.00757
246,0.12494,0.14954,0.10809
248,0.15369,0.17505,0.14621
249,0.11209,0.11774,0.11365
250,0.04990,0.03540,0.04910
251,0.01669,-0.01102,0.00082
253,0.02197,-0.00626,-0.01245
254,0.03427,0.01523,-0.00839
255,0.01706,0.00931,-0.01505
256,-0.03296,-0.03214,-0.03961
257,-0.07916,-0.07193,-0.06134
259,-0.07703,-0.06345,-0.05310
260,-0.01706,0.00128,-0.01108
261,0.05908,0.07520,0.03552
262,0.08698,0.09009,0.04480
263,0.03253,0.01447,-0.00171
265,-0.07465,-0.11368,-0.07733
266,-0.15829,-0.20990,-0.12448
267,-0.15277,-0.20468,-0.09763
268,-0.05402,-0.09415,-0.00223
269,0.07797,0.05954,0.10538
271,0.16608,0.17374,0.15936
272,0.17130,0.19812,0.13391
273,0.11163,0.13721,0.05884
274,0.03540,0.03580,-0.01001
275,-0.02023,-0.05252,-0.03696
277,-0.04892,-0.09167,-0.02777
278,-0.06323,-0.07452,-0.01242
279,-0.07080,-0.02090,-0.01151
280,-0.06473,0.03519,-0.01932
281,-0.03476,0.06473,-0.01599
283,0.01480,0.05859,0.00812
284,0.05908,0.02740,0.04025
285,0.06561,-0.01202,0.05484
286,0.01807,-0.04968,0.03500
287,-0.06656,-0.08179,-0.01233
289,-0.14145,-0.10046,-0.05869
290,-0.15646,-0.09070,-0.07202
291,-0.09244,-0.04276,-0.03812
292,0.02109,0.03040,0.02850
293,0.12115,0.09204,0.09283
295,0.15271,0.10352,0.12173
296,0.10602,0.05322,0.10461
297,0.02173,-0.03195,0.05688
298,-0.04150,-0.10318,0.00543
300,-0.05029,-0.12244,-0.03137
301,-0.01697,-0.08725,-0.05148
302,0.01801,-0.02859,-0.06122
303,0.02353,0.01523,-0.06244
304,0.00293,0.02771,-0.04953
306,-0.01459,0.02179,-0.01984
307,-0.00644,0.02029,0.01480
308,0.01767,0.02844,0.03012
309,0.02179,0.02725,0.00742
310,-0.02277,-0.00354,-0.04678
312,-0.10486,-0.05585,-0.09882
313,-0.17334,-0.09091,-0.10992
314,-0.17319,-0.07144,-0.06625
315,-0.09067,0.00021,0.00784
316,0.03024,0.07721,0.06650
318,0.11655,0.10477,0.07663
319,0.11938,0.06567,0.04254
320,0.05048,-0.00616,0.00000
321,-0.02838,-0.05542,-0.01434
322,-0.05490,-0.04996,0.00748
324,-0.01480,-0.00244,0.04089
325,0.05054,0.04602,0.05264
326,0.08301,0.06213,0.03131
327,0.05911,0.04553,-0.00171
328,0.00745,0.02332,-0.01093
330,-0.02252,0.02115,0.02042
331,-0.01065,0.03619,0.07138
332,0.01340,0.03714,0.09683
