# profile: max-debug
# arm: right
# session: 2026-08-08_2046
# probe: curling pointer finger
# started: 2026-08-08T20:48:07
# duration_s: 27.814
# sample_rate_hz: 840
# placement: RIGHT arm, 1 inch above the wrist bone
# filters: none
# kind: probe
# profile_type: debug
# n_samples: 23364
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-09T03:48:07.021Z
# extra.protocol: reps
# extra.cued_attempts: 5
# extra.extra_measured_rate_hz: 837.1
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,0.07123,0.00241,-0.01370
1,0.08948,-0.00595,0.04123
2,0.02921,-0.03171,0.06995
3,-0.05093,-0.04822,0.06976
4,-0.07730,-0.03552,0.05618
5,-0.02997,-0.00412,0.04327
7,0.03909,0.00955,0.03119
8,0.05573,-0.02505,0.01175
9,-0.00513,-0.10034,-0.01624
10,-0.09299,-0.16818,-0.04074
11,-0.12616,-0.17480,-0.04724
13,-0.06662,-0.10657,-0.03476
14,0.04340,-0.00638,-0.01892
15,0.11713,0.05707,-0.01724
16,0.09854,0.04297,-0.03168
17,0.00925,-0.02997,-0.04645
19,-0.07336,-0.10083,-0.04309
20,-0.08377,-0.11624,-0.01730
21,-0.02078,-0.07028,0.01819
22,0.05872,-0.00296,0.04532
23,0.09354,0.03632,0.05414
25,0.06897,0.02844,0.04749
26,0.02176,-0.00452,0.03580
27,0.00046,-0.02231,0.02878
28,0.01956,-0.00327,0.02881
29,0.04865,0.03568,0.02844
30,0.04279,0.05237,0.01474
32,-0.01419,0.01627,-0.02011
33,-0.09250,-0.06155,-0.06827
34,-0.13947,-0.13211,-0.10660
35,-0.12256,-0.14560,-0.11218
36,-0.05524,-0.09045,-0.08127
38,0.01520,-0.00122,-0.03400
39,0.04602,0.07040,0.00195
40,0.03043,0.09409,0.01392
41,-0.00308,0.07605,0.01199
42,-0.01981,0.04376,0.01511
44,-0.00848,0.02002,0.03040
45,0.01395,0.01035,0.04654
46,0.02338,0.00809,0.04694
47,0.01300,0.00552,0.02734
48,-0.00180,-0.00031,0.00089
50,-0.00131,-0.00735,-0.01382
51,0.01749,-0.01010,-0.00891
52,0.03690,-0.00278,0.00726
53,0.03491,0.01373,0.01785
54,0.00494,0.02646,0.01028
55,-0.03873,0.01654,-0.01593
57,-0.07327,-0.02325,-0.04971
58,-0.08374,-0.07373,-0.07455
59,-0.06998,-0.09702,-0.07565
60,-0.04193,-0.06604,-0.04706
61,-0.01093,0.00797,0.00372
63,0.01514,0.07761,0.05682
64,0.03229,0.09485,0.08881
65,0.03998,0.05063,0.08569
66,0.03983,-0.01715,0.05118
67,0.03320,-0.05609,0.00363
69,0.01907,-0.04437,-0.03549
70,-0.00418,-0.00714,-0.05270
71,-0.03244,0.01071,-0.04568
72,-0.05273,-0.01172,-0.01950
73,-0.05078,-0.05264,0.01703
75,-0.02573,-0.07233,0.05121
76,0.00317,-0.05511,0.06702
77,0.00916,-0.02631,0.05182
78,-0.01758,-0.02579,0.00790
79,-0.05695,-0.06558,-0.04276
80,-0.07373,-0.11395,-0.06873
82,-0.04892,-0.12317,-0.05133
83,0.00156,-0.07416,-0.00082
84,0.04044,0.00491,0.04840
85,0.04276,0.06262,0.06235
86,0.01743,0.06738,0.03281
88,-0.00403,0.03061,-0.01736
89,0.00116,-0.00754,-0.05350
90,0.02689,-0.01364,-0.05640
91,0.04721,0.01404,-0.03555
92,0.04214,0.04950,-0.01828
94,0.01425,0.06332,-0.02496
95,-0.01794,0.04587,-0.05191
96,-0.03790,0.01151,-0.07535
97,-0.04214,-0.01639,-0.07312
98,-0.03702,-0.02502,-0.04501
100,-0.03021,-0.01987,-0.01450
101,-0.02667,-0.01535,-0.00888
102,-0.02856,-0.01816,-0.03442
103,-0.03458,-0.01993,-0.06799
104,-0.03766,-0.00607,-0.07373
105,-0.02713,0.02756,-0.03241
107,0.00229,0.06717,0.04129
108,0.04233,0.09055,0.10782
109,0.07352,0.08542,0.13077
110,0.07907,0.05905,0.10022
111,0.05893,0.03134,0.03519
113,0.03079,0.01825,-0.03290
114,0.01694,0.02066,-0.07901
115,0.02753,0.02676,-0.09293
116,0.05374,0.02383,-0.07764
117,0.07477,0.00845,-0.04504
119,0.07254,-0.01218,-0.01236
120,0.04425,-0.02756,0.00348
121,0.00467,-0.03314,-0.00491
122,-0.02411,-0.03467,-0.02924
123,-0.02997,-0.04379,-0.05142
125,-0.02322,-0.06839,-0.05975
126,-0.03171,-0.10471,-0.06100
127,-0.07718,-0.13785,-0.07364
128,-0.14969,-0.14972,-0.10532
129,-0.20374,-0.12833,-0.13583
130,-0.18661,-0.07245,-0.12637
132,-0.08115,0.00858,-0.05194
133,0.07248,0.09674,0.07062
134,0.19852,0.16815,0.18637
135,0.23767,0.20026,0.23923
