# profile: max-debug
# arm: right
# session: 2026-08-08_2046
# probe: Normal movement. using band like a mouse cursor
# started: 2026-08-08T20:49:01
# duration_s: 30.123
# sample_rate_hz: 830
# placement: RIGHT arm, 1 inch above the wrist bone
# filters: none
# kind: distractor
# profile_type: debug
# n_samples: 25002
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-09T03:49:01.486Z
# extra.protocol: distractor
# extra.extra_measured_rate_hz: 818.2
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,0.04086,0.01950,0.05200
1,0.02164,0.01437,0.05780
2,-0.00336,-0.00864,0.03659
3,-0.01251,-0.01608,0.01163
4,-0.00278,0.00287,-0.00171
6,0.00497,0.02567,-0.00821
7,-0.01245,0.02292,-0.02133
8,-0.05200,-0.00549,-0.04184
9,-0.07907,-0.02469,-0.05029
10,-0.05576,0.00107,-0.02390
12,0.02219,0.06799,0.03857
13,0.11530,0.12897,0.10858
14,0.16806,0.13306,0.14688
15,0.15103,0.07147,0.13361
16,0.08160,-0.01321,0.08405
18,0.00806,-0.06308,0.03635
19,-0.02664,-0.05237,0.02173
20,-0.01208,-0.00439,0.04132
21,0.02917,0.03387,0.06827
22,0.06360,0.03415,0.07217
24,0.07034,0.00751,0.04520
25,0.04962,-0.01282,0.00687
26,0.01318,-0.00867,-0.01624
27,-0.02945,0.00287,-0.01715
28,-0.07480,-0.01352,-0.01523
30,-0.11642,-0.07175,-0.03522
31,-0.13727,-0.14084,-0.07861
32,-0.11713,-0.16443,-0.11642
33,-0.05237,-0.11011,-0.11285
34,0.03128,-0.00400,-0.05905
36,0.09027,0.08371,0.01556
37,0.09311,0.09290,0.06552
38,0.04410,0.02112,0.06503
39,-0.02026,-0.07666,0.02618
40,-0.05838,-0.13373,-0.01501
42,-0.05170,-0.12213,-0.02951
43,-0.01230,-0.06708,-0.01584
44,0.03110,-0.01831,0.00452
45,0.05505,-0.00729,0.00940
46,0.05444,-0.02609,-0.00516
48,0.04010,-0.04160,-0.02527
49,0.02563,-0.02966,-0.03586
50,0.01431,0.00134,-0.03705
51,-0.00293,0.01819,-0.04419
53,-0.03555,-0.00491,-0.07043
54,-0.07843,-0.05768,-0.10931
55,-0.10895,-0.09741,-0.13510
56,-0.10376,-0.08539,-0.12405
57,-0.06125,-0.02396,-0.07733
59,-0.00717,0.04285,-0.02310
60,0.02487,0.06863,0.00565
61,0.02124,0.04782,-0.00217
62,-0.00238,0.01904,-0.02930
63,-0.01917,0.02481,-0.04807
65,-0.01740,0.06781,-0.04456
66,-0.00864,0.10803,-0.02634
67,-0.01123,0.10300,-0.00934
68,-0.02795,0.04974,0.00015
69,-0.04117,-0.01352,0.01053
71,-0.03024,-0.04449,0.03369
72,0.00665,-0.03415,0.06940
73,0.04727,-0.00958,0.10074
74,0.06161,-0.00446,0.10477
75,0.03571,-0.02933,0.07083
77,-0.01685,-0.06805,0.01199
78,-0.06476,-0.09683,-0.04062
79,-0.08194,-0.10382,-0.05817
80,-0.06509,-0.09198,-0.03516
81,-0.03268,-0.06943,0.00616
83,-0.00842,-0.04077,0.03305
84,-0.00424,-0.00858,0.02713
85,-0.01669,0.02078,-0.00345
86,-0.03564,0.03613,-0.03400
87,-0.05319,0.02872,-0.04437
89,-0.06424,0.00052,-0.03226
90,-0.06299,-0.03561,-0.00977
91,-0.04462,-0.06470,0.00879
92,-0.01257,-0.07828,0.01562
93,0.01904,-0.07513,0.01031
95,0.03561,-0.05533,-0.00235
96,0.03546,-0.01749,-0.01437
97,0.03076,0.03400,-0.01855
98,0.03104,0.08041,-0.01566
100,0.02780,0.09204,-0.01788
101,0.00034,0.04849,-0.04004
102,-0.05878,-0.03955,-0.08221
103,-0.12537,-0.12894,-0.12039
104,-0.15567,-0.16965,-0.11908
106,-0.12180,-0.13864,-0.06018
107,-0.03830,-0.05539,0.03720
108,0.04660,0.03275,0.12567
109,0.08762,0.08221,0.16217
110,0.07501,0.07800,0.13736
112,0.03671,0.03653,0.07831
113,0.01144,-0.00986,0.02484
114,0.01846,-0.03424,0.00150
115,0.04630,-0.02890,0.00626
116,0.06540,-0.00604,0.02087
118,0.05182,0.01349,0.02835
119,0.00455,0.01617,0.02325
120,-0.05447,0.00430,0.00943
121,-0.09549,-0.00900,-0.00711
122,-0.10062,-0.01398,-0.02240
124,-0.07312,-0.01318,-0.03293
125,-0.03140,-0.01697,-0.03403
126,0.00644,-0.02975,-0.02261
127,0.03296,-0.04294,-0.00195
128,0.05002,-0.04202,0.01718
130,0.06027,-0.02145,0.02307
131,0.06244,0.00845,0.01187
132,0.05450,0.03024,-0.00894
133,0.03909,0.03503,-0.02628
134,0.02356,0.03021,-0.03094
136,0.01404,0.03156,-0.02280
137,0.01050,0.04642,-0.00885
138,0.00797,0.06387,0.00217
139,0.00217,0.06174,0.00452
140,-0.00629,0.02679,-0.00201
142,-0.01303,-0.02963,-0.01129
143,-0.01474,-0.07681,-0.01447
144,-0.01349,-0.08978,-0.00827
145,-0.01694,-0.07336,-0.00238
146,-0.03326,-0.06012,-0.01532
148,-0.06314,-0.07968,-0.05710
149,-0.09457,-0.12601,-0.11279
150,-0.10690,-0.15573,-0.14569
151,-0.08365,-0.12436,-0.12347
153,-0.02649,-0.02853,-0.04587
154,0.04169,0.08554,0.05243
155,0.08945,0.15701,0.12787
156,0.09677,0.15744,0.15930
157,0.06827,0.10773,0.15668
159,0.02951,0.05414,0.14282
160,0.00925,0.02917,0.13000
161,0.01990,0.03290,0.11404
162,0.04883,0.04428,0.08716
163,0.06757,0.04468,0.05176
165,0.05289,0.03082,0.02090
166,0.00662,0.01114,0.00711
167,-0.04321,-0.00446,0.01221
168,-0.06403,-0.01227,0.02655
169,-0.04758,-0.01724,0.03510
171,-0.02029,-0.03137,0.02499
172,-0.02032,-0.06531,-0.00793
173,-0.05899,-0.11496,-0.05484
174,-0.10294,-0.15341,-0.09573
175,-0.09900,-0.14243,-0.10919
177,-0.02313,-0.06274,-0.08627
178,0.09122,0.06018,-0.03717
179,0.17511,0.16309,0.01581
180,0.17902,0.18777,0.05374
181,0.11200,0.12701,0.07169
183,0.03101,0.03296,0.07617
184,-0.00851,-0.02435,0.07407
185,0.00500,-0.01392,0.06488
186,0.03827,0.03409,0.04333
187,0.04984,0.06082,0.00870
189,0.02756,0.03531,-0.02969
190,-0.00574,-0.01880,-0.05646
191,-0.01938,-0.05072,-0.06192
192,-0.00647,-0.03592,-0.05130
193,0.01001,-0.00156,-0.04260
195,0.00174,0.00143,-0.05246
196,-0.03418,-0.04831,-0.08014
197,-0.06830,-0.11737,-0.10391
198,-0.06451,-0.14594,-0.09555
200,-0.01517,-0.10144,-0.04379
201,0.04837,-0.00702,0.03268
202,0.08176,0.08060,0.09473
203,0.06741,0.11951,0.10962
204,0.03036,0.11203,0.07462
206,0.01425,0.09219,0.01874
207,0.03979,0.08871,-0.01920
208,0.08447,0.09924,-0.01956
209,0.10202,0.09720,0.00513
210,0.06473,0.06107,0.02325
212,-0.01007,-0.00049,0.01297
213,-0.07190,-0.05057,-0.01801
214,-0.07730,-0.05194,-0.03955
215,-0.02502,0.00006,-0.02835
216,0.04196,0.06735,0.00775
218,0.06952,0.09415,0.03442
219,0.03494,0.05038,0.02332
220,-0.03458,-0.04108,-0.01807
221,-0.08258,-0.11905,-0.04953
222,-0.06741,-0.13062,-0.03372
224,0.00510,-0.07184,0.02802
225,0.08746,0.01208,0.09451
226,0.12952,0.06586,0.11945
227,0.11685,0.06720,0.08942
228,0.07654,0.03748,0.03101
230,0.04724,0.01511,-0.01651
231,0.04333,0.01913,-0.03378
232,0.04626,0.03610,-0.03064
233,0.02905,0.03854,-0.02768
234,-0.01154,0.01529,-0.03357
236,-0.04834,-0.01547,-0.03955
237,-0.04980,-0.02185,-0.03360
238,-0.01389,0.01154,-0.01645
239,0.02423,0.06546,-0.00391
240,0.02081,0.09729,-0.01392
242,-0.03571,0.07419,-0.05014
243,-0.10941,0.00150,-0.09622
244,-0.14297,-0.07748,-0.12433
245,-0.10376,-0.11169,-0.11234
246,-0.01047,-0.07971,-0.05774
248,0.08163,-0.00488,0.01941
249,0.12250,0.06241,0.08643
250,0.10034,0.08090,0.11472
251,0.04199,0.04572,0.09451
253,-0.01273,-0.01202,0.04010
254,-0.03806,-0.04999,-0.01755
255,-0.03189,-0.04486,-0.04791
256,-0.00873,-0.00620,-0.03903
257,0.01346,0.03406,-0.00430
259,0.02319,0.04712,0.02893
260,0.01981,0.02795,0.04153
261,0.01105,-0.00552,0.03659
262,0.00391,-0.03210,0.03058
263,-0.00473,-0.04803,0.02954
265,-0.02719,-0.06754,0.01669
266,-0.07004,-0.10202,-0.03091
267,-0.11740,-0.13812,-0.10971
268,-0.13309,-0.13995,-0.17590
269,-0.08664,-0.07782,-0.17307
271,0.01633,0.03952,-0.08145
272,0.12915,0.16055,0.05640
273,0.19308,0.22198,0.16089
274,0.17853,0.19260,0.17374
275,0.10455,0.09470,0.10104
277,0.02237,-0.01254,0.00620
278,-0.02255,-0.07455,-0.03986
279,-0.01901,-0.07507,-0.00894
280,0.00870,-0.03870,0.07010
281,0.02475,-0.00385,0.14056
283,0.01007,0.00940,0.16306
284,-0.02405,0.01038,0.14066
285,-0.04712,0.02014,0.10571
286,-0.03638,0.04337,0.08313
287,0.00153,0.05823,0.06485
289,0.03308,0.03635,0.02127
290,0.02588,-0.02435,-0.05972
291,-0.02042,-0.08752,-0.14575
292,-0.06931,-0.10336,-0.17636
293,-0.07611,-0.05136,-0.11484
295,-0.02759,0.03824,0.01138
296,0.04324,0.10559,0.12259
297,0.08215,0.10815,0.14557
298,0.05829,0.05252,0.06995
300,-0.01071,-0.01392,-0.04562
301,-0.07394,-0.04132,-0.12106
302,-0.08917,-0.01257,-0.11502
303,-0.05460,0.04980,-0.04895
304,-0.00436,0.10428,0.01886
306,0.02475,0.11905,0.04297
307,0.02371,0.08905,0.02173
308,0.01215,0.03336,-0.01151
309,0.01193,-0.02170,-0.02466
310,0.02219,-0.06024,-0.01608
312,0.02045,-0.08334,-0.01202
313,-0.01141,-0.10022,-0.03625
314,-0.06357,-0.11392,-0.08252
315,-0.10281,-0.11627,-0.11682
316,-0.10202,-0.09790,-0.10846
318,-0.06583,-0.06219,-0.05969
319,-0.02740,-0.02673,-0.00491
320,-0.01831,-0.00787,0.01993
321,-0.04047,-0.00449,0.00769
