# profile: max-debug
# arm: right
# session: 2026-08-08_2046
# probe: curling pointer finger; sustained
# started: 2026-08-08T20:49:49
# duration_s: 8.046
# sample_rate_hz: 830
# placement: RIGHT arm, 1 inch above the wrist bone
# filters: none
# kind: probe
# profile_type: debug
# n_samples: 6678
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-09T03:49:49.422Z
# extra.protocol: sustained
# extra.cued_attempts: 1
# extra.extra_measured_rate_hz: 837.1
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,-0.01904,-0.03067,0.01666
1,-0.05298,-0.05222,-0.04346
2,-0.10410,-0.07065,-0.09268
3,-0.11066,-0.05286,-0.08661
4,-0.03979,0.01340,-0.01978
6,0.07858,0.09799,0.06479
7,0.17319,0.14630,0.10577
8,0.18896,0.12387,0.07166
9,0.13000,0.04807,-0.01352
10,0.05099,-0.02417,-0.08899
12,0.00836,-0.04279,-0.10562
13,0.01581,-0.00586,-0.06287
14,0.04062,0.03995,-0.00555
15,0.03915,0.04019,0.01566
16,-0.00211,-0.01935,-0.01395
18,-0.05542,-0.09857,-0.06302
19,-0.07852,-0.13583,-0.08282
20,-0.05420,-0.10089,-0.04944
21,-0.00769,-0.02216,0.01526
22,0.01465,0.03625,0.06229
24,-0.01215,0.02963,0.05725
25,-0.06659,-0.02933,0.00912
26,-0.09689,-0.08337,-0.03842
27,-0.06537,-0.08200,-0.04471
28,0.01880,-0.02377,-0.00467
30,0.10681,0.04727,0.05173
31,0.15024,0.08365,0.08826
32,0.13641,0.07303,0.09042
33,0.09030,0.03943,0.06808
34,0.04642,0.01291,0.03693
36,0.02008,0.00098,0.00214
37,0.00259,-0.01114,-0.03824
38,-0.02011,-0.03635,-0.07883
39,-0.04727,-0.06573,-0.10126
40,-0.06131,-0.07294,-0.08749
42,-0.04510,-0.03900,-0.03961
43,-0.00195,0.02609,0.01520
44,0.04099,0.08627,0.04199
45,0.05124,0.10535,0.02423
46,0.01828,0.07593,-0.02255
48,-0.03412,0.02692,-0.06174
49,-0.06326,0.00128,-0.06177
50,-0.04077,0.02161,-0.01813
51,0.02332,0.07178,0.04465
53,0.08759,0.11063,0.09134
54,0.11157,0.10684,0.09964
55,0.08603,0.06409,0.07236
56,0.03555,0.01505,0.03140
57,-0.00592,-0.00885,-0.00009
59,-0.02322,-0.00418,-0.01257
60,-0.02689,0.00592,-0.01178
61,-0.03659,-0.00229,-0.00888
62,-0.05884,-0.02808,-0.00830
63,-0.07919,-0.04584,-0.00449
65,-0.07559,-0.02939,0.00952
66,-0.03986,0.02066,0.02948
67,0.01022,0.07123,0.03589
68,0.03992,0.07867,0.00586
69,0.02310,0.02216,-0.06491
71,-0.03421,-0.07727,-0.14856
72,-0.09244,-0.16626,-0.19601
73,-0.10388,-0.19174,-0.16956
74,-0.04852,-0.13446,-0.07355
75,0.04770,-0.02216,0.04376
77,0.12833,0.08560,0.12146
78,0.14511,0.13196,0.12759
79,0.09082,0.09616,0.07791
80,0.00244,0.00623,0.01801
81,-0.06601,-0.07828,-0.01324
83,-0.07938,-0.10547,-0.00931
84,-0.04150,-0.06671,0.00784
85,0.01239,-0.00134,0.01184
86,0.04340,0.03705,-0.00558
87,0.03607,0.02695,-0.03159
89,0.00613,-0.00400,-0.04678
90,-0.01685,-0.01004,-0.04340
91,-0.01736,0.02139,-0.03149
92,-0.00729,0.05045,-0.02914
93,-0.01151,0.02286,-0.04510
95,-0.03864,-0.06955,-0.06854
96,-0.06680,-0.16785,-0.07635
97,-0.06137,-0.19205,-0.05246
98,-0.01041,-0.11389,-0.00369
100,0.05798,0.01398,0.04349
101,0.09598,0.10141,0.06387
102,0.07730,0.09729,0.05368
103,0.02029,0.02780,0.03232
104,-0.02911,-0.03452,0.02460
106,-0.03806,-0.03754,0.03961
107,-0.01288,0.01001,0.06604
108,0.01266,0.05630,0.08545
109,0.01251,0.05890,0.08945
110,-0.00748,0.02155,0.08405
112,-0.01895,-0.01526,0.07907
113,-0.00342,-0.01639,0.07474
114,0.02463,0.01416,0.05939
