# audit_status: compromised — ch2 rest RMS 4.2x neighbours (likely contact fault)
# profile: max-debug
# arm: right
# session: 2026-08-12_2028
# probe: rest
# started: 2026-08-12T20:28:49
# duration_s: 29.807
# sample_rate_hz: 840
# sample_rate_source: measured
# placement: right forearm; 235mm from elbow; rotated 0 deg
# placement_distance_mm: 235
# placement_rotation_deg: 0
# placement_convention_version: 1
# anatomy_source: MEASURED
# filters: none
# kind: rest
# profile_type: debug
# n_samples: 25038
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-13T03:28:49.032Z
# extra.protocol: rest
# extra.extra_measured_rate_hz: 835.8
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,-0.03992,-0.06528,0.13837
1,-0.02002,-0.04269,0.16708
2,0.01102,-0.06503,0.18259
3,0.03076,-0.10913,0.20505
4,0.01993,-0.13037,0.23071
5,-0.01871,-0.10281,0.23288
7,-0.05988,-0.04187,0.18973
8,-0.07614,0.01010,0.11005
9,-0.06137,0.02039,0.02997
10,-0.03458,-0.00934,-0.01743
11,-0.02087,-0.04898,-0.02939
13,-0.02808,-0.06827,-0.03146
14,-0.04230,-0.06009,-0.04913
15,-0.04538,-0.04105,-0.08234
16,-0.03506,-0.03345,-0.10638
17,-0.02652,-0.04623,-0.09540
19,-0.03409,-0.06876,-0.04373
20,-0.05374,-0.07983,0.03156
21,-0.06525,-0.06293,0.10361
22,-0.05225,-0.01828,0.14920
23,-0.01962,0.03552,0.15607
25,0.00995,0.07135,0.12628
26,0.01672,0.07056,0.07819
27,0.00192,0.03607,0.04007
28,-0.01379,-0.00906,0.03311
29,-0.00873,-0.03851,0.05441
30,0.02148,-0.04242,0.07806
32,0.06091,-0.03351,0.07767
33,0.08636,-0.03336,0.04984
34,0.08432,-0.05090,0.01486
35,0.05893,-0.07352,-0.00650
36,0.02692,-0.07828,-0.01465
38,0.00491,-0.05377,-0.02826
39,-0.00171,-0.01102,-0.06088
40,-0.00122,0.02618,-0.10431
41,-0.00772,0.04114,-0.13635
42,-0.02835,0.03601,-0.14200
44,-0.05484,0.02557,-0.12366
45,-0.06714,0.02203,-0.09164
46,-0.04837,0.02643,-0.05051
47,-0.00034,0.03314,0.00067
48,0.05331,0.03873,0.05670
50,0.08197,0.04300,0.10205
51,0.07016,0.04199,0.12366
52,0.02991,0.02451,0.12604
53,-0.00836,-0.01880,0.12781
54,-0.01898,-0.07986,0.13916
55,0.00061,-0.12894,0.14453
57,0.03152,-0.13162,0.11304
58,0.05228,-0.07648,0.03061
59,0.05737,0.01044,-0.07770
60,0.05856,0.07904,-0.16052
61,0.06949,0.08801,-0.17862
63,0.08932,0.03171,-0.13492
64,0.10187,-0.05838,-0.06885
65,0.09140,-0.13654,-0.02188
66,0.06027,-0.17145,-0.00601
67,0.03162,-0.16019,-0.00177
69,0.03326,-0.12198,0.01587
70,0.07584,-0.08090,0.05045
71,0.14136,-0.05173,0.07867
72,0.19220,-0.03690,0.07028
73,0.19440,-0.03156,0.01486
75,0.13953,-0.02917,-0.06592
76,0.05051,-0.02396,-0.12964
77,-0.03290,-0.01190,-0.14041
78,-0.07907,0.00647,-0.09335
79,-0.08185,0.02350,-0.01865
80,-0.05917,0.02811,0.03900
82,-0.03595,0.01517,0.05115
83,-0.02634,-0.00659,0.02319
84,-0.02914,-0.01871,-0.01532
85,-0.03641,-0.00793,-0.03842
86,-0.04312,0.02164,-0.04364
88,-0.04858,0.05209,-0.04678
89,-0.05063,0.06897,-0.05936
90,-0.04266,0.07492,-0.07391
91,-0.01941,0.08569,-0.07330
92,0.01413,0.11185,-0.05243
94,0.04114,0.14517,-0.02786
95,0.04306,0.16394,-0.02292
96,0.01401,0.15201,-0.04364
97,-0.03271,0.11310,-0.07135
98,-0.07297,0.06641,-0.07983
100,-0.08896,0.02881,-0.06042
101,-0.08203,0.00140,-0.02969
102,-0.07025,-0.02679,-0.01279
103,-0.07254,-0.06314,-0.01926
104,-0.09235,-0.09927,-0.03528
105,-0.11484,-0.11542,-0.03894
107,-0.12039,-0.09814,-0.02396
108,-0.10187,-0.05487,-0.00781
109,-0.06961,-0.01138,-0.01559
110,-0.04044,0.00739,-0.05313
111,-0.02164,-0.00269,-0.09601
113,-0.00540,-0.02182,-0.10727
114,0.02188,-0.02350,-0.07047
115,0.06570,0.00247,-0.00754
116,0.11710,0.04114,0.03784
117,0.15735,0.06522,0.03818
119,0.16879,0.05820,0.00616
120,0.14349,0.02701,-0.01855
121,0.08789,-0.00577,-0.00745
122,0.02075,-0.02264,0.03049
123,-0.03488,-0.02496,0.05826
125,-0.06439,-0.02838,0.04504
126,-0.06937,-0.04501,-0.00836
127,-0.06271,-0.06940,-0.07333
128,-0.05478,-0.08145,-0.11826
129,-0.04419,-0.06409,-0.12897
130,-0.02451,-0.02026,-0.11182
132,0.00113,0.02615,-0.08466
133,0.01547,0.04776,-0.06680
134,0.00220,0.03519,-0.07111
135,-0.03360,0.00485,-0.09622
136,-0.06351,-0.01419,-0.12292
138,-0.05814,-0.00327,-0.12286
139,-0.01361,0.03226,-0.08002
140,0.04391,0.06952,-0.00824
141,0.08087,0.08737,0.05368
142,0.08340,0.08102,0.07016
144,0.06415,0.06100,0.03714
145,0.04550,0.04144,-0.01468
146,0.03827,0.02969,-0.04477
147,0.03561,0.02469,-0.03387
148,0.02353,0.02094,0.00531
150,-0.00491,0.01260,0.04416
151,-0.04398,-0.00421,0.06277
152,-0.07962,-0.02887,0.06219
153,-0.09839,-0.05435,0.05576
154,-0.09512,-0.07004,0.05267
155,-0.07706,-0.06924,0.05078
157,-0.06061,-0.05551,0.04419
158,-0.06036,-0.03964,0.03595
159,-0.07672,-0.02942,0.03995
160,-0.09335,-0.02307,0.06744
161,-0.08990,-0.01419,0.10965
163,-0.06052,-0.00311,0.13480
164,-0.02145,-0.00079,0.10739
165,0.00064,-0.01825,0.01721
166,-0.00989,-0.05191,-0.10693
167,-0.04547,-0.08096,-0.21191
169,-0.08200,-0.08331,-0.25443
170,-0.09705,-0.05576,-0.22784
171,-0.08356,-0.01907,-0.16214
172,-0.04987,-0.00153,-0.09906
173,-0.00992,-0.01474,-0.06519
175,0.02585,-0.04437,-0.06235
176,0.05252,-0.06393,-0.07751
177,0.06750,-0.05878,-0.09784
178,0.06833,-0.03854,-0.11600
179,0.05402,-0.02661,-0.12561
180,0.02863,-0.03680,-0.11679
182,0.00211,-0.05963,-0.08090
183,-0.01450,-0.07028,-0.02084
184,-0.01645,-0.05197,0.04468
185,-0.00934,-0.01254,0.09058
186,-0.00562,0.02078,0.10220
188,-0.01538,0.02432,0.08588
189,-0.03915,-0.00146,0.06320
190,-0.06781,-0.03149,0.05502
191,-0.08948,-0.03662,0.06757
192,-0.09686,-0.00708,0.09143
194,-0.08954,0.04050,0.11008
195,-0.07095,0.07767,0.10846
196,-0.04456,0.08685,0.07718
