# profile: max-debug
# arm: right
# session: 2026-08-12_2028
# probe: Baseline, rest.
# started: 2026-08-12T20:31:16
# duration_s: 30.166
# sample_rate_hz: 830
# sample_rate_source: measured
# placement: right forearm; 235mm from elbow; rotated 0 deg
# placement_distance_mm: 235
# placement_rotation_deg: 0
# placement_convention_version: 1
# anatomy_source: MEASURED
# filters: none
# kind: rest
# profile_type: debug
# n_samples: 25038
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-13T03:31:16.459Z
# extra.protocol: rest
# extra.extra_measured_rate_hz: 827.5
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,0.09271,0.00977,-0.03531
1,0.08325,0.02118,-0.04675
2,0.04910,-0.00391,-0.06924
3,-0.00238,-0.04141,-0.08630
4,-0.04861,-0.05847,-0.08386
6,-0.06671,-0.03894,-0.05655
7,-0.05194,0.00540,-0.01004
8,-0.02353,0.04510,0.04095
9,-0.00974,0.05472,0.07858
10,-0.02484,0.02893,0.09033
12,-0.05847,-0.01651,0.07590
13,-0.08630,-0.05698,0.04736
14,-0.09070,-0.07352,0.02200
15,-0.07202,-0.06171,0.01212
16,-0.04294,-0.03180,0.01791
18,-0.01477,-0.00238,0.02875
19,0.00928,0.01053,0.03223
20,0.03009,0.00333,0.02438
21,0.04532,-0.01154,0.01236
22,0.04794,-0.01413,0.00690
24,0.03223,0.00696,0.01025
25,0.00104,0.04321,0.01248
26,-0.03256,0.07074,0.00067
27,-0.05167,0.06900,-0.02649
28,-0.04578,0.03854,-0.05423
30,-0.01846,0.00128,-0.06351
31,0.01334,-0.01779,-0.04828
32,0.02954,-0.01126,-0.02155
33,0.02029,0.00568,-0.00409
34,-0.00723,0.01028,-0.00729
36,-0.03400,-0.00598,-0.02594
37,-0.04309,-0.02881,-0.04572
38,-0.03113,-0.03314,-0.05569
39,-0.00827,-0.00620,-0.05365
40,0.01218,0.03836,-0.04288
42,0.02463,0.06876,-0.02728
43,0.03345,0.06018,-0.01080
44,0.04507,0.01642,0.00085
45,0.05853,-0.03177,0.00085
46,0.06329,-0.05179,-0.01419
48,0.04724,-0.03656,-0.03976
