# profile: max-debug
# arm: right
# session: 2026-08-12_2028
# probe: baseline rest
# started: 2026-08-12T20:32:07
# duration_s: 30.166
# sample_rate_hz: 830
# sample_rate_source: measured
# placement: right forearm; 235mm from elbow; rotated 0 deg
# placement_distance_mm: 235
# placement_rotation_deg: 0
# placement_convention_version: 1
# anatomy_source: MEASURED
# filters: none
# kind: rest
# profile_type: debug
# n_samples: 25038
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-13T03:32:07.716Z
# extra.protocol: rest
# extra.extra_measured_rate_hz: 827.6
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,0.07010,-0.05957,-0.02921
1,0.08063,-0.04797,-0.01736
2,0.05908,-0.03467,-0.01224
3,0.02393,-0.01334,-0.01331
4,0.00418,0.01334,-0.01804
6,0.01761,0.03647,-0.02261
7,0.05701,0.04749,-0.02264
8,0.09662,0.04312,-0.01590
9,0.11282,0.02737,-0.00430
10,0.10123,0.00934,0.00616
12,0.07608,-0.00165,0.00885
13,0.05411,-0.00220,0.00000
14,0.03882,0.00302,-0.01956
15,0.01974,0.00662,-0.04483
16,-0.01382,0.00766,-0.06851
18,-0.05869,0.01505,-0.08292
19,-0.09656,0.03946,-0.08270
20,-0.10712,0.07840,-0.06790
21,-0.08426,0.11023,-0.04572
22,-0.04196,0.10626,-0.02878
24,-0.00473,0.05429,-0.02887
25,0.00943,-0.02634,-0.04916
26,0.00076,-0.09406,-0.07986
27,-0.01474,-0.11371,-0.10135
28,-0.01913,-0.08142,-0.09451
30,-0.00632,-0.02579,-0.05264
31,0.01453,0.01529,0.01254
32,0.02750,0.02151,0.07489
33,0.02280,-0.00024,0.10681
34,0.00412,-0.02780,0.09433
36,-0.01437,-0.04257,0.04532
37,-0.01819,-0.03931,-0.01434
38,-0.00275,-0.02286,-0.05551
39,0.02313,-0.00040,-0.06244
40,0.04294,0.02142,-0.04071
42,0.04385,0.03479,-0.01111
43,0.02573,0.03186,0.00623
44,-0.00003,0.01047,0.00494
45,-0.02109,-0.02121,-0.00620
46,-0.03488,-0.04810,-0.01373
48,-0.04849,-0.05862,-0.01099
49,-0.06729,-0.05185,0.00000
50,-0.08447,-0.03467,0.01593
51,-0.08334,-0.01251,0.03970
53,-0.05264,0.01477,0.07739
54,0.00018,0.04724,0.12610
55,0.05167,0.07635,0.16635
56,0.08023,0.08676,0.17014
57,0.08304,0.06937,0.12228
59,0.07678,0.03326,0.03790
60,0.08127,0.00073,-0.04205
61,0.10141,-0.01205,-0.07706
62,0.12305,-0.01071,-0.05585
63,0.12640,-0.01675,-0.00348
65,0.10501,-0.04443,0.04025
66,0.07272,-0.08386,0.05231
67,0.05173,-0.10938,0.04102
68,0.05084,-0.10577,0.03091
69,0.05490,-0.08508,0.03400
71,0.03677,-0.07550,0.03583
72,-0.01569,-0.09219,0.01172
73,-0.08298,-0.11972,-0.04279
74,-0.12567,-0.12445,-0.09885
75,-0.11758,-0.08514,-0.11481
77,-0.07086,-0.01282,-0.07352
78,-0.02893,0.05762,-0.00143
79,-0.03101,0.09363,0.05038
80,-0.07922,0.08539,0.04800
81,-0.13733,0.04553,0.00159
83,-0.16092,-0.00464,-0.04605
84,-0.13242,-0.04730,-0.05795
85,-0.07129,-0.07132,-0.03281
86,-0.01337,-0.07153,-0.00113
87,0.01956,-0.05045,0.00616
89,0.03387,-0.02097,-0.01443
90,0.05157,-0.00262,-0.03934
91,0.08524,-0.00977,-0.04315
92,0.12402,-0.03949,-0.02335
93,0.14386,-0.07135,-0.00073
95,0.13141,-0.08102,0.00217
96,0.09845,-0.05884,-0.01709
97,0.07233,-0.01709,-0.03946
98,0.07040,0.01953,-0.04300
100,0.08502,0.03342,-0.02234
101,0.09354,0.02689,0.00894
102,0.08365,0.01776,0.03232
103,0.06650,0.02151,0.03943
104,0.06348,0.03577,0.03488
106,0.08054,0.04114,0.02814
107,0.09854,0.01865,0.02533
108,0.09027,-0.03137,0.02835
109,0.04730,-0.08554,0.03778
110,-0.01114,-0.11328,0.05338
112,-0.05496,-0.10010,0.07162
113,-0.06741,-0.05829,0.08490
