# audit_status: compromised — ch2 clipped 27.2% (>= 25.0%); ch3 clipped 36.9% (>= 25.0%)
# profile: max-debug
# arm: right
# session: 2026-08-12_2028
# probe: waving arm around gently, pretending to use band as a cursor
# started: 2026-08-12T20:33:24
# duration_s: 29.829
# sample_rate_hz: 840
# sample_rate_source: measured
# placement: right forearm; 235mm from elbow; rotated 0 deg
# placement_distance_mm: 235
# placement_rotation_deg: 0
# placement_convention_version: 1
# anatomy_source: MEASURED
# filters: none
# kind: distractor
# profile_type: debug
# n_samples: 25056
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-13T03:33:24.989Z
# extra.protocol: distractor
# extra.extra_measured_rate_hz: 846.5
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,0.07199,0.51300,0.62238
1,0.00058,0.44370,0.52014
2,-0.06699,0.34833,0.35785
3,-0.12766,0.25229,0.21747
4,-0.16980,0.19867,0.16226
5,-0.18088,0.21072,0.20975
7,-0.16467,0.27295,0.32184
8,-0.14618,0.34836,0.41748
9,-0.15402,0.41254,0.41312
10,-0.19351,0.46942,0.27490
11,-0.23599,0.53680,0.04532
13,-0.23782,0.61896,-0.18539
14,-0.17593,0.69412,-0.34787
15,-0.07037,0.72595,-0.44669
16,0.02658,0.68500,-0.54880
17,0.06735,0.56183,-0.71561
19,0.04230,0.36740,-0.94135
20,-0.01715,0.12973,-1.00000
21,-0.06662,-0.10867,-1.00000
22,-0.08264,-0.30106,-1.00000
23,-0.07477,-0.42200,-1.00000
25,-0.06931,-0.49414,-1.00000
26,-0.08304,-0.58279,-1.00000
27,-0.11111,-0.74100,-1.00000
28,-0.13596,-0.93979,-1.00000
29,-0.14478,-1.00000,-0.90976
30,-0.13873,-0.94824,-0.63599
32,-0.12805,-0.60052,-0.46301
33,-0.12216,-0.16873,-0.38132
34,-0.12454,0.09641,-0.28021
35,-0.13458,0.02979,-0.04822
36,-0.15033,-0.32239,0.31653
38,-0.16742,-0.74286,0.68756
39,-0.17596,-1.00000,0.90295
40,-0.16150,-1.00000,0.89035
41,-0.11368,-1.00000,0.72113
42,-0.03769,-1.00000,0.55695
44,0.04160,-1.00000,0.53821
45,0.09085,-1.00000,0.69638
46,0.09048,-1.00000,0.94092
47,0.05164,-0.95551,0.99997
48,0.01102,-0.69897,0.99997
50,0.00375,-0.42181,0.91034
51,0.03418,-0.21170,0.65036
52,0.07065,-0.14102,0.50925
53,0.07074,-0.23410,0.57736
54,0.01721,-0.42755,0.76160
55,-0.06631,-0.57462,0.83405
57,-0.13254,-0.53702,0.60883
58,-0.14642,-0.31805,0.10611
59,-0.11041,-0.11224,-0.44556
60,-0.06046,-0.18842,-0.78085
61,-0.03833,-0.67496,-0.79361
63,-0.06177,-1.00000,-0.58585
64,-0.11319,-1.00000,-0.34137
65,-0.15421,-1.00000,-0.15997
66,-0.15576,-1.00000,-0.00851
67,-0.12234,-1.00000,0.18790
69,-0.09079,-1.00000,0.43210
70,-0.10080,-1.00000,0.63953
71,-0.15927,-1.00000,0.72440
72,-0.22964,-0.90686,0.68326
73,-0.25949,-0.71222,0.58951
75,-0.22519,-0.57153,0.51614
76,-0.15372,-0.41971,0.47559
77,-0.09976,-0.12433,0.43277
78,-0.09805,0.39084,0.36060
79,-0.13474,0.99997,0.26895
80,-0.16339,0.99997,0.18127
82,-0.14868,0.99997,0.09952
83,-0.09595,0.99997,0.00677
84,-0.04257,0.99997,-0.09592
85,-0.02362,0.88446,-0.16873
86,-0.04437,0.71698,-0.16226
88,-0.07928,0.68710,-0.07117
89,-0.09009,0.68176,0.04715
90,-0.04666,0.62085,0.11368
91,0.05783,0.51453,0.09119
92,0.19803,0.42676,0.01004
94,0.31897,0.39597,-0.06506
95,0.35950,0.38959,-0.09076
96,0.29208,0.32877,-0.07123
97,0.15149,0.15738,-0.03891
98,0.02094,-0.10498,-0.01843
100,-0.02313,-0.37024,-0.00940
101,0.03323,-0.54303,0.00275
102,0.13318,-0.58536,0.02722
103,0.19611,-0.53403,0.05991
104,0.17877,-0.46024,0.09018
105,0.09927,-0.41083,0.11069
107,0.01007,-0.38031,0.12167
108,-0.04755,-0.33252,0.12891
109,-0.06610,-0.24493,0.13947
110,-0.06097,-0.13516,0.15704
