# profile: max-debug
# arm: right
# session: 2026-08-12_2028
# probe: wiggling pointer finger, gently. erecting gently pointer finger from relax state
# started: 2026-08-12T20:34:57
# duration_s: 27.793
# sample_rate_hz: 840
# sample_rate_source: measured
# placement: right forearm; 235mm from elbow; rotated 0 deg
# placement_distance_mm: 235
# placement_rotation_deg: 0
# placement_convention_version: 1
# anatomy_source: MEASURED
# filters: none
# kind: probe
# profile_type: debug
# n_samples: 23346
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-13T03:34:57.884Z
# extra.protocol: reps
# extra.cued_attempts: 5
# extra.extra_measured_rate_hz: 828.1
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,0.25937,0.03888,-0.11111
1,0.23065,0.02069,-0.07803
2,0.15332,-0.02878,-0.04538
3,0.07013,-0.09415,-0.02390
4,0.02679,-0.14465,-0.01324
5,0.03226,-0.16425,-0.00400
7,0.05606,-0.16367,0.01489
8,0.06531,-0.16110,0.04745
9,0.05994,-0.15518,0.08670
10,0.06827,-0.12448,0.11740
11,0.11047,-0.05695,0.12497
13,0.17148,0.02420,0.10376
14,0.21280,0.07004,0.05981
15,0.20898,0.04611,0.00620
16,0.16934,-0.03564,-0.04239
17,0.12436,-0.12460,-0.07080
19,0.09381,-0.17072,-0.06210
20,0.07053,-0.15903,-0.00278
21,0.03384,-0.11203,0.10229
22,-0.02548,-0.06461,0.21768
23,-0.09445,-0.03769,0.28674
25,-0.14975,-0.02985,0.26541
26,-0.17685,-0.02625,0.15741
27,-0.17712,-0.01297,0.01761
28,-0.16040,0.01349,-0.08478
29,-0.13351,0.04523,-0.11456
30,-0.09677,0.06973,-0.08850
32,-0.04919,0.08081,-0.04996
33,0.00482,0.08545,-0.02786
34,0.05347,0.09875,-0.02014
35,0.08054,0.12927,-0.01093
36,0.07242,0.16733,0.00385
38,0.02661,0.18991,0.01291
39,-0.04239,0.17902,0.00763
40,-0.10651,0.13736,-0.00476
41,-0.13879,0.08615,-0.01010
42,-0.13196,0.04770,-0.00653
44,-0.10452,0.03043,-0.00732
45,-0.08606,0.02866,-0.02194
46,-0.09201,0.03345,-0.03802
47,-0.11002,0.04086,-0.02872
48,-0.11160,0.05002,0.01895
50,-0.07806,0.05762,0.08438
51,-0.01700,0.05841,0.12503
52,0.04578,0.05188,0.11069
53,0.08899,0.04568,0.04855
54,0.11026,0.04938,-0.02231
55,0.12018,0.06354,-0.06021
57,0.12592,0.07675,-0.04889
58,0.12289,0.07492,-0.00406
59,0.10205,0.05511,0.04202
60,0.06259,0.02963,0.06439
61,0.01636,0.01550,0.06021
63,-0.01987,0.01871,0.04672
64,-0.03543,0.02878,0.04416
65,-0.03088,0.02921,0.05798
66,-0.01450,0.01404,0.07489
67,0.00418,-0.00531,0.07709
69,0.01904,-0.01038,0.06113
70,0.02933,0.00699,0.04202
71,0.03830,0.03741,0.03757
72,0.05042,0.06427,0.04816
73,0.06714,0.08011,0.05457
75,0.08420,0.09167,0.03741
76,0.09216,0.10791,-0.00082
77,0.08133,0.12473,-0.03488
78,0.04871,0.12521,-0.03885
79,0.00278,0.09763,-0.00970
80,-0.03784,0.05240,0.03079
82,-0.05405,0.01871,0.05667
83,-0.03964,0.01974,0.05969
84,-0.00882,0.05029,0.05261
85,0.01212,0.07883,0.05289
86,0.00558,0.07394,0.06488
88,-0.01996,0.03210,0.07736
89,-0.03381,-0.01828,0.07669
90,-0.00833,-0.03992,0.06134
91,0.05493,-0.01614,0.04379
92,0.12189,0.03717,0.03882
94,0.15076,0.08585,0.04947
95,0.12396,0.10403,0.06335
96,0.06058,0.09109,0.06226
97,-0.00067,0.06659,0.03757
98,-0.03140,0.05081,-0.00168
100,-0.03140,0.04883,-0.03406
101,-0.02118,0.05161,-0.04083
102,-0.01901,0.05011,-0.01859
103,-0.02432,0.04642,0.01883
104,-0.02136,0.04953,0.04999
105,0.00220,0.06149,0.05832
107,0.03943,0.07068,0.03946
108,0.06686,0.06229,0.00046
109,0.06311,0.03583,-0.04535
110,0.02670,0.00931,-0.08395
111,-0.02231,0.00247,-0.10501
113,-0.05762,0.01489,-0.10461
114,-0.06488,0.02347,-0.08517
115,-0.04800,0.00443,-0.05316
116,-0.02240,-0.04059,-0.01620
117,-0.00369,-0.08185,0.01660
119,-0.00095,-0.08609,0.03262
120,-0.01575,-0.04532,0.01782
121,-0.04306,0.01779,-0.03391
122,-0.07321,0.07034,-0.10947
123,-0.09543,0.09491,-0.17679
125,-0.10330,0.09662,-0.20212
126,-0.09744,0.09061,-0.17419
127,-0.08319,0.08575,-0.11407
128,-0.06552,0.07965,-0.05957
129,-0.04767,0.06485,-0.03665
130,-0.03339,0.03632,-0.04190
132,-0.02814,-0.00473,-0.05112
133,-0.03458,-0.04956,-0.04431
134,-0.04596,-0.08240,-0.02237
135,-0.04715,-0.08636,-0.00220
