# profile: max-debug
# arm: right
# session: 2026-08-14_2125
# probe: moving arm around
# started: 2026-08-14T21:29:52
# duration_s: 43.178
# sample_rate_hz: 830
# sample_rate_source: measured
# placement: right forearm; 235mm from elbow; rotated 0 deg
# placement_distance_mm: 235
# placement_rotation_deg: 0
# placement_convention_version: 1
# anatomy_source: MEASURED
# filters: none
# kind: distractor
# profile_type: debug
# n_samples: 35838
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-15T04:29:52.342Z
# extra.protocol: distractor_daily
# extra.cued_attempts: 5
# extra.schedule_json: [{"start_s": 0.0, "end_s": 3.0, "kind": "prepare", "label": "Get ready"}, {"start_s": 3.0, "end_s": 8.0, "kind": "move", "label": "Reach for a cup (1/5)"}, {"start_s": 8.0, "end_s": 11.0, "kind": "relax", "label": "Rest the arm"}, {"start_s": 11.0, "end_s": 16.0, "kind": "move", "label": "Type a few words (2/5)"}, {"start_s": 16.0, "end_s": 19.0, "kind": "relax", "label": "Rest the arm"}, {"start_s": 19.0, "end_s": 24.0, "kind": "move", "label": "Gesture while talking (3/5)"}, {"start_s": 24.0, "end_s": 27.0, "kind": "relax", "label": "Rest the arm"}, {"start_s": 27.0, "end_s": 32.0, "kind": "move", "label": "Adjust glasses / hair (4/5)"}, {"start_s": 32.0, "end_s": 35.0, "kind": "relax", "label": "Rest the arm"}, {"start_s": 35.0, "end_s": 40.0, "kind": "move", "label": "Turn a doorknob / handle (5/5)"}, {"start_s": 40.0, "end_s": 43.0, "kind": "relax", "label": "Rest the arm"}]
# extra.extra_displayed_transitions_json: [{"t_elapsed_s": 0.0001, "kind": "prepare", "label": "Get ready"}, {"t_elapsed_s": 3.0353, "kind": "move", "label": "Reach for a cup (1/5)"}, {"t_elapsed_s": 8.0194, "kind": "relax", "label": "Rest the arm"}, {"t_elapsed_s": 11.0075, "kind": "move", "label": "Type a few words (2/5)"}, {"t_elapsed_s": 16.0382, "kind": "relax", "label": "Rest the arm"}, {"t_elapsed_s": 19.0319, "kind": "move", "label": "Gesture while talking (3/5)"}, {"t_elapsed_s": 24.0457, "kind": "relax", "label": "Rest the arm"}, {"t_elapsed_s": 27.0001, "kind": "move", "label": "Adjust glasses / hair (4/5)"}, {"t_elapsed_s": 32.0415, "kind": "relax", "label": "Rest the arm"}, {"t_elapsed_s": 35.0061, "kind": "move", "label": "Turn a doorknob / handle (5/5)"}, {"t_elapsed_s": 40.0232, "kind": "relax", "label": "Rest the arm"}]
# extra.extra_schedule_audit_max_lag_ms: 46
# extra.extra_schedule_audit_mismatch_frac: 0.0
# extra.extra_measured_rate_hz: 857.1
# extra.clip_fraction: ch1=0.0093 ch2=0.0160 ch3=0.1223
# extra.clip_threshold: 0.999
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,-0.17325,-0.06860,-0.06567
1,-0.10080,-0.01422,0.02728
2,0.01373,0.06262,0.11804
3,0.07935,0.07938,0.11520
4,0.02402,-0.02466,-0.02176
6,-0.13470,-0.21906,-0.23038
7,-0.28711,-0.38272,-0.37396
8,-0.30945,-0.38678,-0.33762
9,-0.16080,-0.19574,-0.11749
10,0.08298,0.09772,0.17151
12,0.28619,0.33533,0.37616
13,0.35217,0.40317,0.40924
14,0.28287,0.30283,0.29605
15,0.15729,0.13333,0.13568
16,0.05713,0.00580,0.01779
18,0.00687,-0.03659,-0.03458
19,-0.02472,-0.03281,-0.05713
20,-0.07230,-0.04831,-0.09000
21,-0.12561,-0.10410,-0.13110
22,-0.13458,-0.15573,-0.13977
24,-0.06482,-0.14182,-0.08630
25,0.05029,-0.05530,0.00226
26,0.11865,0.03418,0.04898
27,0.06412,0.03717,-0.00983
28,-0.09683,-0.06790,-0.15747
30,-0.25040,-0.20020,-0.29086
31,-0.26801,-0.23572,-0.29102
32,-0.10995,-0.11154,-0.11758
33,0.13968,0.11716,0.15201
34,0.33578,0.31903,0.37286
36,0.37842,0.38797,0.43301
37,0.27478,0.31610,0.32614
38,0.11588,0.18265,0.14526
39,-0.00043,0.07962,0.00900
40,-0.03314,0.04364,-0.02121
42,-0.00705,0.04584,0.02615
43,0.02670,0.03613,0.06915
44,0.03784,-0.00439,0.04617
45,0.03598,-0.04861,-0.03253
46,0.04926,-0.05536,-0.09973
48,0.08453,-0.01672,-0.10056
49,0.10629,0.02463,-0.05234
50,0.06018,0.00906,-0.03348
51,-0.07297,-0.08191,-0.10461
53,-0.24146,-0.19742,-0.23679
54,-0.34695,-0.25113,-0.32266
55,-0.31821,-0.19318,-0.26978
56,-0.17273,-0.05600,-0.09073
57,-0.00919,0.06958,0.09702
59,0.06747,0.10770,0.16571
60,0.02487,0.05457,0.08005
61,-0.07996,-0.02853,-0.08136
62,-0.15479,-0.07404,-0.19940
63,-0.14630,-0.06293,-0.21051
65,-0.07285,-0.02960,-0.14362
66,0.00467,-0.02039,-0.07562
67,0.04065,-0.04724,-0.05453
68,0.03976,-0.07666,-0.06061
69,0.04095,-0.06247,-0.03641
71,0.06839,0.00647,0.04465
72,0.09607,0.08395,0.13614
73,0.06354,0.09399,0.14682
74,-0.06586,-0.00696,0.02258
75,-0.25522,-0.18201,-0.18832
77,-0.40378,-0.32538,-0.35281
78,-0.41760,-0.33472,-0.35034
79,-0.28387,-0.19083,-0.17197
80,-0.08423,0.02054,0.06625
81,0.06613,0.16739,0.21185
83,0.10052,0.16553,0.19196
84,0.03751,0.03531,0.05872
85,-0.04999,-0.12112,-0.06671
86,-0.09714,-0.19894,-0.09494
87,-0.08746,-0.16409,-0.02658
89,-0.04739,-0.06720,0.07040
90,-0.01044,0.00647,0.13043
91,0.01419,0.00851,0.14178
92,0.04456,-0.03693,0.14182
