# profile: max-debug
# arm: right
# session: 2026-08-14_2125
# probe: rest
# started: 2026-08-14T21:31:52
# duration_s: 29.478
# sample_rate_hz: 850
# sample_rate_source: measured
# placement: right forearm; 235mm from elbow; rotated 0 deg
# placement_distance_mm: 235
# placement_rotation_deg: 0
# placement_convention_version: 1
# anatomy_source: MEASURED
# filters: none
# kind: rest
# profile_type: debug
# n_samples: 25056
# channels: ch1=ulnar, ch2=median, ch3=radial
# value_range: -1..+1 (raw SNC as delivered by the Mudra host)
# timestamp: milliseconds since the start of this probe
# recorded_utc: 2026-08-15T04:31:52.436Z
# extra.protocol: rest
# extra.schedule_json: [{"start_s": 0.0, "end_s": 30, "kind": "still", "label": "Stay completely still"}]
# extra.extra_displayed_transitions_json: [{"t_elapsed_s": 0.0, "kind": "still", "label": "Stay completely still"}]
# extra.extra_schedule_audit_max_lag_ms: 0
# extra.extra_schedule_audit_mismatch_frac: 0.0
# extra.extra_measured_rate_hz: 827.1
# extra.clip_fraction: ch1=0.0000 ch2=0.0000 ch3=0.0000
# extra.clip_threshold: 0.999
# schema: armband/probe/2
timestamp,ch1,ch2,ch3
0,-0.04526,-0.02792,-0.06369
1,0.03006,-0.02176,0.00385
2,0.07224,-0.05182,0.05319
3,0.04953,-0.11819,0.04715
4,-0.02628,-0.18741,-0.01523
5,-0.10464,-0.20996,-0.09348
7,-0.13037,-0.15472,-0.13171
8,-0.08170,-0.03464,-0.09827
9,0.01559,0.09781,-0.00806
10,0.10831,0.18387,0.08923
11,0.15387,0.19550,0.14554
12,0.14630,0.14801,0.14487
14,0.11093,0.08197,0.10547
15,0.07663,0.03149,0.05624
16,0.05124,0.00525,0.01157
17,0.02127,-0.00845,-0.03302
18,-0.02640,-0.02148,-0.08334
20,-0.08313,-0.03043,-0.12836
21,-0.11847,-0.01862,-0.14172
22,-0.10358,0.02600,-0.10510
23,-0.03894,0.09210,-0.03183
24,0.03824,0.14215,0.03375
25,0.07602,0.13229,0.04507
27,0.04456,0.04407,-0.01065
28,-0.03992,-0.09445,-0.10001
29,-0.12320,-0.21738,-0.16562
30,-0.14868,-0.25821,-0.16605
31,-0.09442,-0.19260,-0.10153
32,0.01389,-0.05640,-0.00818
34,0.12128,0.07507,0.06998
35,0.17743,0.13342,0.10602
36,0.16312,0.09808,0.09680
37,0.09451,0.00464,0.05508
38,0.00787,-0.08334,-0.00018
40,-0.06287,-0.11795,-0.04849
41,-0.10089,-0.09537,-0.07181
42,-0.10794,-0.04990,-0.06168
43,-0.09406,-0.02106,-0.02518
44,-0.06656,-0.02118,0.01822
45,-0.02814,-0.02960,0.04877
47,0.01489,-0.01767,0.05762
48,0.04489,0.01950,0.04651
49,0.03760,0.05377,0.01892
50,-0.01886,0.04691,-0.02530
51,-0.10660,-0.01447,-0.08423
52,-0.18109,-0.10306,-0.14389
54,-0.19818,-0.16910,-0.17886
55,-0.14606,-0.17703,-0.16815
56,-0.05533,-0.13031,-0.11496
57,0.02209,-0.06549,-0.04990
58,0.04947,-0.02271,-0.01083
60,0.02750,-0.01752,-0.01471
61,-0.01364,-0.03497,-0.04471
62,-0.04218,-0.04675,-0.06589
63,-0.04736,-0.03537,-0.05481
64,-0.03839,-0.00558,-0.01797
65,-0.02664,0.02423,0.01776
67,-0.01202,0.04050,0.03149
68,0.01126,0.04376,0.02539
69,0.03754,0.04105,0.01675
70,0.04309,0.03043,0.01440
71,0.00278,-0.00241,0.00604
72,-0.08282,-0.06769,-0.02808
74,-0.17557,-0.14999,-0.08755
75,-0.21957,-0.20682,-0.13928
76,-0.17914,-0.19550,-0.13699
77,-0.06552,-0.10794,-0.05945
78,0.06891,0.01782,0.06503
80,0.16364,0.12241,0.17215
81,0.18518,0.16553,0.20502
82,0.14157,0.14905,0.15482
83,0.07037,0.10611,0.06580
84,0.01218,0.07022,0.00052
85,-0.01212,0.05185,-0.00760
87,-0.00711,0.03979,0.02475
88,0.00912,0.02029,0.05255
89,0.02374,-0.00604,0.04623
90,0.03717,-0.02509,0.01633
91,0.05399,-0.02557,-0.00360
92,0.06635,-0.01437,0.00247
94,0.05167,-0.01361,0.01312
95,-0.00735,-0.04010,-0.00778
96,-0.09653,-0.08493,-0.06860
97,-0.16769,-0.11551,-0.13409
98,-0.17090,-0.10214,-0.15576
100,-0.09689,-0.04648,-0.11920
101,0.00983,0.01611,-0.05951
102,0.08380,0.04526,-0.02853
103,0.08969,0.02975,-0.04715
104,0.04620,-0.00500,-0.08902
105,0.00284,-0.02319,-0.10898
107,-0.00626,-0.01160,-0.08536
108,0.01224,0.01147,-0.03552
109,0.02643,0.01791,0.00534
110,0.01520,-0.00146,0.01733
111,-0.01230,-0.02960,0.00989
112,-0.02997,-0.04144,0.00714
114,-0.02414,-0.02823,0.02228
115,-0.00784,-0.00476,0.04419
116,-0.00760,0.00436,0.04654
117,-0.03793,-0.01450,0.01050
118,-0.08893,-0.05408,-0.05756
120,-0.13568,-0.09171,-0.12668
121,-0.15729,-0.10364,-0.15979
122,-0.14691,-0.07828,-0.13773
123,-0.10840,-0.02261,-0.07187
124,-0.05005,0.04013,0.00165
125,0.01459,0.08066,0.04312
127,0.06500,0.07928,0.03229
128,0.08145,0.03934,-0.01950
129,0.06253,-0.01236,-0.07587
130,0.03354,-0.04166,-0.09839
131,0.02972,-0.03113,-0.07248
132,0.06415,0.00711,-0.01816
134,0.11060,0.04102,0.02512
135,0.12369,0.04425,0.03036
136,0.08057,0.01712,0.00552
137,0.00446,-0.01437,-0.01447
138,-0.05521,-0.01968,-0.00082
140,-0.06757,0.01282,0.04071
141,-0.04733,0.06677,0.07376
142,-0.03781,0.10815,0.06485
143,-0.06802,0.10587,0.01465
144,-0.12485,0.05090,-0.04144
145,-0.16473,-0.03644,-0.06381
147,-0.15146,-0.11627,-0.04172
148,-0.08560,-0.15198,-0.00031
149,-0.00314,-0.13339,0.02252
150,0.05246,-0.08289,0.00790
151,0.05997,-0.03705,-0.02902
152,0.03085,-0.01849,-0.05286
154,-0.00421,-0.02158,-0.03802
155,-0.02014,-0.02429,0.00818
156,-0.01434,-0.01273,0.04932
157,-0.00421,0.00717,0.04913
158,-0.00836,0.01950,0.00302
160,-0.02979,0.01620,-0.05701
161,-0.05481,0.00174,-0.08957
162,-0.06793,-0.01740,-0.08017
163,-0.06680,-0.04202,-0.05136
164,-0.06247,-0.07526,-0.03784
165,-0.06564,-0.10947,-0.05084
167,-0.07452,-0.12421,-0.06891
168,-0.07672,-0.10196,-0.06323
169,-0.06305,-0.04727,-0.02972
170,-0.03802,0.01126,0.00546
171,-0.01688,0.04025,0.01273
172,-0.01117,0.02618,-0.01056
174,-0.01633,-0.01492,-0.03616
175,-0.01288,-0.04926,-0.03024
176,0.01865,-0.04849,0.01663
177,0.07889,-0.00854,0.08102
178,0.14230,0.04736,0.12344
180,0.17029,0.08386,0.11642
181,0.13956,0.07788,0.06360
182,0.06454,0.03662,-0.00113
183,-0.00797,-0.00659,-0.03574
184,-0.03445,-0.02002,-0.02109
185,-0.01318,-0.00336,0.02002
187,0.01074,0.00830,0.03595
188,-0.01501,-0.02478,-0.01193
189,-0.09656,-0.10532,-0.10922
190,-0.17703,-0.18558,-0.18866
191,-0.17767,-0.19937,-0.17850
192,-0.06613,-0.11533,-0.06232
194,0.10831,0.03345,0.10110
195,0.24597,0.16956,0.21814
196,0.27112,0.22467,0.22794
197,0.18625,0.18353,0.14227
198,0.06335,0.08646,0.02896
200,-0.01743,-0.00552,-0.04251
201,-0.02698,-0.05249,-0.04733
202,0.00311,-0.05319,-0.01193
203,0.02185,-0.03214,0.01688
204,0.00803,-0.01300,0.01096
205,-0.01727,-0.00256,-0.02063
207,-0.02258,0.00388,-0.04520
208,-0.00665,0.00558,-0.03928
209,-0.00583,-0.01208,-0.01266
210,-0.05847,-0.06537,-0.00177
211,-0.16040,-0.14954,-0.03488
212,-0.25507,-0.22836,-0.09924
214,-0.27194,-0.25082,-0.14291
215,-0.18082,-0.18530,-0.11499
216,-0.01642,-0.04507,-0.01144
217,0.14630,0.11572,0.11554
218,0.24216,0.23285,0.19562
220,0.25116,0.26767,0.19360
221,0.19766,0.22479,0.13269
222,0.12381,0.14362,0.06940
223,0.06250,0.07175,0.04544
224,0.02545,0.03735,0.05804
225,0.00711,0.03641,0.07108
227,-0.00412,0.04214,0.05240
228,-0.01379,0.02936,0.00311
229,-0.01715,-0.00504,-0.04605
230,-0.00592,-0.04272,-0.06537
231,0.01718,-0.06442,-0.05475
232,0.03183,-0.07074,-0.04419
234,0.01279,-0.08221,-0.06570
235,-0.04495,-0.11697,-0.12177
236,-0.11362,-0.16748,-0.17929
237,-0.14850,-0.19879,-0.19394
238,-0.12189,-0.17175,-0.14316
240,-0.04373,-0.07318,-0.03958
241,0.04929,0.07074,0.08203
242,0.12357,0.20688,0.18784
243,0.16788,0.28433,0.25711
244,0.18719,0.28094,0.27966
245,0.18524,0.21121,0.25095
247,0.15820,0.11261,0.17502
248,0.10507,0.02173,0.07138
249,0.03961,-0.04260,-0.02628
250,-0.01266,-0.07895,-0.08466
251,-0.03119,-0.09164,-0.08899
252,-0.01550,-0.08344,-0.05176
254,0.01367,-0.06076,-0.00586
255,0.02747,-0.04132,0.01306
256,0.00583,-0.04810,-0.01407
257,-0.05023,-0.08838,-0.07764
258,-0.11703,-0.13831,-0.14136
260,-0.15894,-0.15457,-0.16089
261,-0.14804,-0.10916,-0.11157
262,-0.08188,-0.01663,-0.00784
263,0.01309,0.07355,0.10315
264,0.09613,0.11581,0.17209
265,0.13510,0.10400,0.18033
267,0.12213,0.07166,0.14764
268,0.07239,0.05826,0.10898
269,0.01096,0.07269,0.08142
270,-0.04120,0.08682,0.05194
271,-0.07385,0.06308,-0.00256
272,-0.08606,-0.00824,-0.08368
274,-0.08130,-0.09476,-0.15918
275,-0.06427,-0.14346,-0.18497
276,-0.04080,-0.12189,-0.14282
277,-0.01987,-0.04605,-0.06076
278,-0.01224,0.02902,0.00385
280,-0.02499,0.05060,0.00659
281,-0.05435,0.00931,-0.05014
282,-0.08484,-0.05429,-0.11890
283,-0.09775,-0.08276,-0.14188
284,-0.08316,-0.04688,-0.09174
285,-0.04559,0.03415,0.01169
287,0.00125,0.11133,0.11810
288,0.04477,0.14365,0.18103
289,0.07932,0.12357,0.18451
290,0.10413,0.07358,0.14572
291,0.11765,0.02347,0.09601
292,0.11459,-0.01035,0.05698
294,0.08969,-0.02972,0.02917
295,0.04471,-0.04407,0.00101
296,-0.00671,-0.05624,-0.03146
297,-0.04315,-0.05789,-0.05356
298,-0.04849,-0.03940,-0.04324
300,-0.02646,-0.00641,0.00366
301,-0.00226,0.01450,0.05933
302,-0.00455,-0.00674,0.08023
303,-0.03989,-0.07312,0.04471
304,-0.08301,-0.14487,-0.02325
305,-0.09442,-0.16058,-0.06909
307,-0.05179,-0.08380,-0.05185
308,0.03229,0.06238,0.02179
309,0.12079,0.20587,0.10425
310,0.17813,0.27493,0.14618
311,0.18924,0.24692,0.13248
312,0.16077,0.15829,0.08615
314,0.11246,0.07214,0.04376
315,0.06805,0.03271,0.02798
316,0.04626,0.04181,0.03769
317,0.05109,0.06918,0.05673
318,0.06747,0.08203,0.06915
320,0.07187,0.06891,0.06891
321,0.05261,0.04138,0.05984
322,0.02078,0.01620,0.04697
323,-0.00290,-0.00427,0.02664
324,-0.01340,-0.03470,-0.01364
325,-0.02997,-0.08795,-0.08151
327,-0.07486,-0.15204,-0.16208
328,-0.14120,-0.18790,-0.21704
329,-0.18594,-0.15698,-0.20920
330,-0.16104,-0.05826,-0.13513
331,-0.05801,0.05972,-0.03607
332,0.07474,0.12839,0.02866
334,0.16147,0.10956,0.02515
335,0.15366,0.02466,-0.03104
336,0.06601,-0.06302,-0.09079
337,-0.03561,-0.09790,-0.11185
338,-0.08511,-0.07169,-0.08920
340,-0.06433,-0.02090,-0.05197
341,-0.00934,0.01099,-0.03293
342,0.02896,0.01044,-0.03802
343,0.03134,-0.00259,-0.04160
344,0.02023,-0.00320,-0.01111
345,0.02414,0.00793,0.05887
347,0.03595,0.00293,0.13254
348,0.01285,-0.04453,0.15552
349,-0.07639,-0.12756,0.09967
350,-0.20389,-0.20322,-0.00665
351,-0.28909,-0.22281,-0.09296
352,-0.26199,-0.16998,-0.09888
354,-0.12714,-0.07364,-0.02240
355,0.03323,0.01373,0.07791
356,0.12299,0.05276,0.12933
357,0.10651,0.03897,0.10117
358,0.02917,-0.00302,0.02411
360,-0.02991,-0.04224,-0.03915
361,-0.02597,-0.06061,-0.04507
362,0.02136,-0.05829,0.00031
363,0.05557,-0.04736,0.05145
364,0.03708,-0.04095,0.06244
365,-0.02393,-0.04285,0.02405
367,-0.07944,-0.04300,-0.02872
368,-0.08545,-0.02451,-0.04480
369,-0.03821,0.01801,-0.00113
370,0.02145,0.06274,0.07251
371,0.03824,0.06772,0.11185
372,-0.01596,0.00412,0.07053
374,-0.11908,-0.10880,-0.03665
375,-0.21152,-0.20334,-0.13910
376,-0.23630,-0.20789,-0.16412
377,-0.17703,-0.10413,-0.09317
378,-0.06546,0.05380,0.02786
380,0.04498,0.17804,0.13037
381,0.11633,0.21225,0.17520
382,0.14401,0.16797,0.16959
383,0.14621,0.10349,0.14276
384,0.14127,0.06982,0.11368
385,0.13535,0.07358,0.08337
387,0.12677,0.08478,0.05075
388,0.11459,0.07355,0.02386
389,0.09946,0.03690,0.01138
390,0.07941,-0.00577,0.00693
391,0.05109,-0.03558,-0.00916
392,0.01776,-0.04889,-0.04803
394,-0.00781,-0.05212,-0.09451
395,-0.01340,-0.04929,-0.11621
396,-0.00226,-0.03891,-0.09335
397,0.00583,-0.02219,-0.03925
398,-0.00708,-0.00809,0.01105
400,-0.03711,-0.00607,0.03253
401,-0.05920,-0.01407,0.03040
402,-0.05014,-0.01810,0.02866
403,-0.01132,-0.00656,0.04114
404,0.03229,0.01538,0.05624
405,0.05496,0.02887,0.05072
407,0.05057,0.02002,0.01599
408,0.03119,-0.00543,-0.03159
409,0.01080,-0.02686,-0.06564
410,-0.00513,-0.02679,-0.07220
411,-0.01422,-0.00311,-0.05594
412,-0.00934,0.03384,-0.02887
414,0.01428,0.06982,0.00018
415,0.04224,0.08847,0.02240
416,0.03998,0.07074,0.02167
417,-0.01938,0.00418,-0.01724
418,-0.11990,-0.09802,-0.08670
420,-0.20105,-0.19110,-0.14670
421,-0.20334,-0.22437,-0.14880
422,-0.12360,-0.18307,-0.07950
423,-0.02396,-0.10550,0.02081
424,0.02173,-0.04996,0.08826
425,-0.00336,-0.03928,0.09106
427,-0.04272,-0.03833,0.05695
428,-0.02121,0.00867,0.04388
429,0.08051,0.11572,0.08353
430,0.20395,0.23056,0.15195
431,0.26367,0.27490,0.19427
432,0.22177,0.21222,0.17615
434,0.11691,0.08060,0.11197
435,0.02557,-0.03745,0.04846
436,-0.00430,-0.07837,0.02353
437,0.01294,-0.04095,0.03799
438,0.02280,0.01987,0.05832
440,-0.01797,0.03671,0.04257
441,-0.10675,-0.02383,-0.03052
442,-0.20010,-0.14026,-0.14423
443,-0.24655,-0.24954,-0.24707
444,-0.21790,-0.28543,-0.27805
445,-0.12091,-0.21924,-0.20422
447,0.01062,-0.07831,-0.04733
448,0.13162,0.07205,0.12341
449,0.20193,0.17111,0.23306
450,0.20084,0.19852,0.24771
451,0.13684,0.17688,0.19009
452,0.04596,0.14264,0.11276
454,-0.02695,0.11459,0.05576
455,-0.05420,0.08771,0.02554
456,-0.03952,0.05334,0.00974
457,-0.00726,0.02008,0.00397
458,0.02258,0.01044,0.01855
460,0.04791,0.03415,0.05676
461,0.07233,0.06671,0.09183
462,0.08408,0.05933,0.07520
463,0.05649,-0.02051,-0.02200
464,-0.02213,-0.15143,-0.17105
465,-0.11908,-0.26025,-0.29199
467,-0.16696,-0.27039,-0.30762
468,-0.11496,-0.16046,-0.20114
469,0.02240,0.01553,-0.02798
470,0.16843,0.16589,0.12839
471,0.24216,0.22638,0.21558
472,0.22006,0.19879,0.23541
474,0.14679,0.13431,0.21902
475,0.08798,0.08380,0.18808
476,0.07263,0.06195,0.14230
477,0.07715,0.05228,0.07819
478,0.05881,0.03653,0.00864
480,0.00186,0.01413,-0.04282
481,-0.06763,-0.00323,-0.06454
482,-0.10645,-0.00711,-0.06683
483,-0.09146,0.00244,-0.06619
484,-0.03702,0.02271,-0.06439
485,0.01749,0.04977,-0.04974
487,0.03491,0.07095,-0.02118
488,0.00211,0.06177,-0.00403
489,-0.06516,0.00272,-0.03281
490,-0.13211,-0.09457,-0.11234
491,-0.16183,-0.18024,-0.19797
492,-0.13135,-0.19528,-0.22076
494,-0.04242,-0.11685,-0.14102
495,0.07758,0.02014,0.01694
496,0.18643,0.14655,0.17917
497,0.24570,0.20792,0.27402
498,0.23853,0.19641,0.27652
500,0.17603,0.14218,0.21301
501,0.08807,0.07968,0.12967
502,0.00571,0.02405,0.05875
503,-0.05173,-0.02368,0.00937
504,-0.07776,-0.05762,-0.01837
505,-0.07318,-0.06201,-0.02106
507,-0.04440,-0.02942,0.00204
508,-0.00836,0.01883,0.03247
509,0.00674,0.03851,0.03152
510,-0.02396,-0.00226,-0.03329
511,-0.09836,-0.08896,-0.15259
512,-0.17615,-0.16287,-0.26526
514,-0.19888,-0.16342,-0.29288
515,-0.13144,-0.07669,-0.19708
516,0.00735,0.05276,-0.01413
517,0.15317,0.15588,0.16498
518,0.23944,0.18890,0.25586
520,0.24094,0.15759,0.23630
521,0.18378,0.10104,0.15259
522,0.11713,0.05637,0.07556
523,0.07413,0.03540,0.04523
524,0.05463,0.02731,0.04984
525,0.03903,0.01678,0.05078
527,0.01443,-0.00040,0.02542
528,-0.01321,-0.01508,-0.01395
529,-0.03043,-0.01498,-0.03928
530,-0.03625,0.00082,-0.04102
531,-0.04810,0.01434,-0.04056
532,-0.08447,-0.00299,-0.06708
534,-0.14056,-0.06564,-0.12183
535,-0.18082,-0.15143,-0.16608
536,-0.16125,-0.20499,-0.14789
537,-0.06577,-0.17444,-0.04568
538,0.07321,-0.05606,0.10779
540,0.19022,0.09348,0.24225
541,0.22894,0.19376,0.29410
542,0.17953,0.19873,0.24521
543,0.08197,0.12677,0.13049
544,-0.00552,0.03735,0.01184
545,-0.04663,-0.02109,-0.06094
547,-0.04410,-0.04379,-0.07562
548,-0.02390,-0.05637,-0.05356
549,-0.00580,-0.07538,-0.02350
550,0.01099,-0.08667,0.00317
551,0.03592,-0.06372,0.03391
552,0.06436,-0.00500,0.07281
554,0.07178,0.05124,0.10080
555,0.03412,0.05576,0.08395
556,-0.04434,-0.00473,0.00879
557,-0.12515,-0.08762,-0.09052
558,-0.16122,-0.12479,-0.14621
560,-0.13144,-0.07877,-0.10846
561,-0.05368,0.02625,0.01044
562,0.03403,0.12582,0.14188
563,0.10281,0.16864,0.21387
564,0.14517,0.15228,0.20459
565,0.16428,0.11310,0.14957
567,0.15976,0.08582,0.10190
568,0.12869,0.07410,0.08612
